Company Name,Symbol,Year,Month,Day,Close Price,Sector,Industry,Market Cap,Price to Earnings,PEG,Price to Book,Dividend,Payout Ratio,Value Metric
NextPoint Acquisition Corp.,NAC-U,2021,1,5,10.04,Financial Services,Shell Companies,N/A,N/A,N/A,12.08,N/A,N/A,N/A
NextPoint Acquisition Corp.,NAC-U,2021,1,7,10.26,Financial Services,Shell Companies,N/A,N/A,N/A,12.35,N/A,N/A,N/A
NextPoint Acquisition Corp.,NAC-U,2021,1,8,10.27,Financial Services,Shell Companies,N/A,N/A,N/A,12.36,N/A,N/A,N/A
NextPoint Acquisition Corp.,NAC-U,2021,1,11,10.01,Financial Services,Shell Companies,N/A,N/A,N/A,12.05,N/A,N/A,N/A
NextPoint Acquisition Corp.,NAC-U,2021,1,12,10.01,Financial Services,Shell Companies,N/A,N/A,N/A,12.05,N/A,N/A,N/A
NextPoint Acquisition Corp.,NAC-U,2021,1,13,10.3,Financial Services,Shell Companies,N/A,N/A,N/A,12.39,N/A,N/A,N/A
NextPoint Acquisition Corp.,NAC-U,2021,1,14,10.22,Financial Services,Shell Companies,N/A,N/A,N/A,12.3,N/A,N/A,N/A
NextPoint Acquisition Corp.,NAC-U,2021,1,15,9.9,Financial Services,Shell Companies,N/A,N/A,N/A,11.91,N/A,N/A,N/A
NextPoint Acquisition Corp.,NAC-U,2021,1,18,10.18,Financial Services,Shell Companies,N/A,N/A,N/A,12.25,N/A,N/A,N/A
NextPoint Acquisition Corp.,NAC-U,2021,1,19,10.0,Financial Services,Shell Companies,N/A,N/A,N/A,12.03,N/A,N/A,N/A
NextPoint Acquisition Corp.,NAC-U,2021,1,20,10.0,Financial Services,Shell Companies,N/A,N/A,N/A,12.03,N/A,N/A,N/A
NextPoint Acquisition Corp.,NAC-U,2021,1,21,9.9,Financial Services,Shell Companies,N/A,N/A,N/A,11.91,N/A,N/A,N/A
NextPoint Acquisition Corp.,NAC-U,2021,1,22,10.0,Financial Services,Shell Companies,N/A,N/A,N/A,12.03,N/A,N/A,N/A
NextPoint Acquisition Corp.,NAC-U,2021,1,25,10.0,Financial Services,Shell Companies,N/A,N/A,N/A,12.03,N/A,N/A,N/A
NextPoint Acquisition Corp.,NAC-U,2021,1,26,10.0,Financial Services,Shell Companies,N/A,N/A,N/A,12.03,N/A,N/A,N/A
NextPoint Acquisition Corp.,NAC-U,2021,1,27,9.9,Financial Services,Shell Companies,N/A,N/A,N/A,11.91,N/A,N/A,N/A
NextPoint Acquisition Corp.,NAC-U,2021,1,28,10.05,Financial Services,Shell Companies,N/A,N/A,N/A,12.09,N/A,N/A,N/A
NextPoint Acquisition Corp.,NAC-U,2021,1,29,10.23,Financial Services,Shell Companies,N/A,N/A,N/A,12.31,N/A,N/A,N/A
NextPoint Acquisition Corp.,NAC-U,2021,2,1,10.35,Financial Services,Shell Companies,N/A,N/A,N/A,12.45,N/A,N/A,N/A
