Company Name,Symbol,Year,Month,Day,Close Price,Sector,Industry,Market Cap,Price to Earnings,PEG,Price to Book,Dividend,Payout Ratio,Value Metric
Cominar Real Estate Investment Trust,CUF-UN,2021,1,6,7.89,Real Estate,REIT—Diversified,1440000000.0,15.94,N/A,0.51,0.045700000000000005,1.32,7.774122597303242
Cominar Real Estate Investment Trust,CUF-UN,2021,1,7,7.97,Real Estate,REIT—Diversified,1450000000.0,16.1,N/A,0.51,0.045599999999999995,1.32,7.852907421576128
Cominar Real Estate Investment Trust,CUF-UN,2021,1,8,8.0,Real Estate,REIT—Diversified,1460000000.0,16.16,N/A,0.51,0.0452,1.32,7.885189437428244
Cominar Real Estate Investment Trust,CUF-UN,2021,1,11,8.05,Real Estate,REIT—Diversified,1470000000.0,16.26,N/A,0.52,0.045,1.32,8.091100478468901
Cominar Real Estate Investment Trust,CUF-UN,2021,1,12,8.04,Real Estate,REIT—Diversified,1470000000.0,16.24,N/A,0.52,0.0447,1.32,8.08346893845123
Cominar Real Estate Investment Trust,CUF-UN,2021,1,13,8.18,Real Estate,REIT—Diversified,1490000000.0,16.53,N/A,0.53,0.044800000000000006,1.32,8.385241194486985
Cominar Real Estate Investment Trust,CUF-UN,2021,1,14,8.37,Real Estate,REIT—Diversified,1530000000.0,16.91,N/A,0.54,0.044000000000000004,1.32,8.746551724137932
Cominar Real Estate Investment Trust,CUF-UN,2021,1,15,8.17,Real Estate,REIT—Diversified,1490000000.0,16.51,N/A,0.52,0.043,1.32,8.23125599232982
Cominar Real Estate Investment Trust,CUF-UN,2021,1,18,8.18,Real Estate,REIT—Diversified,1490000000.0,16.53,N/A,0.53,0.0441,1.32,8.390862944162437
Cominar Real Estate Investment Trust,CUF-UN,2021,1,19,8.29,Real Estate,REIT—Diversified,1510000000.0,16.75,N/A,0.53,0.044000000000000004,1.32,8.503352490421458
Cominar Real Estate Investment Trust,CUF-UN,2021,1,20,8.37,Real Estate,REIT—Diversified,1530000000.0,16.91,N/A,0.54,0.0434,1.32,8.751581368602645
Cominar Real Estate Investment Trust,CUF-UN,2021,1,21,8.36,Real Estate,REIT—Diversified,1530000000.0,16.89,N/A,0.54,0.043,1.32,8.744582933844681
