Company Name,Symbol,Year,Month,Day,Close Price,Sector,Industry,Market Cap,Price to Earnings,PEG,Price to Book,Dividend,Payout Ratio,Value Metric
Air Canada,AC,2021,1,6,22.72,Industrials,Airlines,6730000000.0,N/A,0.04,3.93,N/A,0.0,N/A
Air Canada,AC,2021,1,7,23.2,Industrials,Airlines,6880000000.0,N/A,0.04,4.01,N/A,0.0,N/A
Air Canada,AC,2021,1,8,22.84,Industrials,Airlines,6770000000.0,N/A,0.04,3.95,N/A,0.0,N/A
Air Canada,AC,2021,1,11,22.39,Industrials,Airlines,6640000000.0,N/A,0.04,3.87,N/A,0.0,N/A
Air Canada,AC,2021,1,12,23.13,Industrials,Airlines,6850000000.0,N/A,0.04,4.0,N/A,0.0,N/A
Air Canada,AC,2021,1,13,22.99,Industrials,Airlines,6810000000.0,N/A,0.04,3.98,N/A,0.0,N/A
Air Canada,AC,2021,1,14,23.89,Industrials,Airlines,7080000000.0,N/A,0.04,4.13,N/A,0.0,N/A
Air Canada,AC,2021,1,15,22.92,Industrials,Airlines,6790000000.0,N/A,0.04,3.97,N/A,0.0,N/A
Air Canada,AC,2021,1,18,22.97,Industrials,Airlines,6810000000.0,N/A,0.04,3.97,N/A,0.0,N/A
Air Canada,AC,2021,1,19,23.05,Industrials,Airlines,6830000000.0,N/A,0.04,3.99,N/A,0.0,N/A
Air Canada,AC,2021,1,20,22.89,Industrials,Airlines,7660000000.0,N/A,0.04,3.96,N/A,0.0,N/A
Air Canada,AC,2021,1,21,22.03,Industrials,Airlines,7370000000.0,N/A,0.04,3.81,N/A,0.0,N/A
Air Canada,AC,2021,1,22,22.09,Industrials,Airlines,7390000000.0,N/A,0.04,3.82,N/A,0.0,N/A
Air Canada,AC,2021,1,25,20.86,Industrials,Airlines,6980000000.0,N/A,0.04,3.61,N/A,0.0,N/A
Air Canada,AC,2021,1,26,20.4,Industrials,Airlines,6830000000.0,N/A,0.04,3.53,N/A,0.0,N/A
Air Canada,AC,2021,1,27,19.94,Industrials,Airlines,6670000000.0,N/A,0.04,3.45,N/A,0.0,N/A
Air Canada,AC,2021,1,28,21.03,Industrials,Airlines,7040000000.0,N/A,0.04,3.64,N/A,0.0,N/A
Air Canada,AC,2021,1,29,20.02,Industrials,Airlines,6700000000.0,N/A,0.04,3.46,N/A,0.0,N/A
Air Canada,AC,2021,2,1,20.42,Industrials,Airlines,6830000000.0,N/A,0.04,3.53,N/A,0.0,N/A
Air Canada,AC,2021,2,1,20.42,Industrials,Airlines,6830000000.0,N/A,0.04,3.53,N/A,0.0,N/A
Air Canada,AC,2021,2,2,21.27,Industrials,Airlines,7120000000.0,N/A,0.04,3.68,N/A,0.0,N/A
Air Canada,AC,2021,2,3,21.81,Industrials,Airlines,7300000000.0,N/A,0.04,3.77,N/A,0.0,N/A
Air Canada,AC,2021,2,4,21.78,Industrials,Airlines,7290000000.0,N/A,0.04,3.77,N/A,0.0,N/A
Air Canada,AC,2021,2,5,21.87,Industrials,Airlines,7320000000.0,N/A,0.04,3.78,N/A,0.0,N/A
Air Canada,AC,2021,2,8,21.65,Industrials,Airlines,7250000000.0,N/A,0.04,3.75,N/A,0.0,N/A
Air Canada,AC,2021,2,9,21.5,Industrials,Airlines,7200000000.0,N/A,0.04,3.72,N/A,0.0,N/A
Air Canada,AC,2021,2,9,21.5,Industrials,Airlines,7200000000.0,N/A,0.04,3.72,N/A,0.0,N/A
Air Canada,AC,2021,2,10,21.08,Industrials,Airlines,7060000000.0,N/A,0.04,3.65,N/A,0.0,N/A
Air Canada,AC,2021,2,11,21.2,Industrials,Airlines,7100000000.0,N/A,0.04,3.67,N/A,0.0,N/A
