Company Name,Symbol,Year,Month,Day,Close Price,Sector,Industry,Market Cap,Price to Earnings,PEG,Price to Book,Dividend,Payout Ratio,Value Metric
B2Gold Corp.,BTO,2021,1,6,7.48,Basic Materials,Gold,7860000000.0,12.22,8.42,3.22,0.0269,0.1311,38.31765507839128
B2Gold Corp.,BTO,2021,1,7,7.3,Basic Materials,Gold,7670000000.0,11.93,8.42,3.15,0.026699999999999998,0.1311,36.6022207071199
B2Gold Corp.,BTO,2021,1,8,6.88,Basic Materials,Gold,7230000000.0,11.24,8.06,2.97,0.0279,0.1311,32.47670006810001
B2Gold Corp.,BTO,2021,1,11,6.72,Basic Materials,Gold,7060000000.0,10.98,8.06,2.9,0.0296,0.1311,30.926573426573423
B2Gold Corp.,BTO,2021,1,12,6.54,Basic Materials,Gold,6870000000.0,10.69,8.06,2.82,0.0296,0.1311,29.279137529137525
B2Gold Corp.,BTO,2021,1,13,6.57,Basic Materials,Gold,6900000000.0,10.74,8.06,2.83,0.030299999999999997,0.1311,29.500339706881494
B2Gold Corp.,BTO,2021,1,14,6.59,Basic Materials,Gold,6920000000.0,10.77,8.06,2.84,0.0311,0.1311,29.664242071574048
B2Gold Corp.,BTO,2021,1,15,6.41,Basic Materials,Gold,6730000000.0,10.47,7.31,2.76,0.030899999999999997,0.1311,28.03104083810263
B2Gold Corp.,BTO,2021,1,18,6.43,Basic Materials,Gold,6760000000.0,10.51,7.05,2.77,0.0318,0.1311,28.215448730374103
B2Gold Corp.,BTO,2021,1,19,6.43,Basic Materials,Gold,6760000000.0,10.51,7.05,2.77,0.0318,0.1311,28.215448730374103
B2Gold Corp.,BTO,2021,1,20,6.51,Basic Materials,Gold,6840000000.0,10.64,7.07,2.81,0.0317,0.1311,28.97974217311234
B2Gold Corp.,BTO,2021,1,21,6.54,Basic Materials,Gold,6870000000.0,10.69,7.22,2.82,0.0317,0.1311,29.219540564117473
B2Gold Corp.,BTO,2021,1,22,6.43,Basic Materials,Gold,6760000000.0,10.51,7.36,2.77,0.0311,0.1311,28.23460382116187
B2Gold Corp.,BTO,2021,1,25,6.45,Basic Materials,Gold,6780000000.0,10.54,7.22,2.78,0.0317,0.1311,28.400891732092656
B2Gold Corp.,BTO,2021,1,26,6.45,Basic Materials,Gold,6780000000.0,10.54,7.09,2.78,0.0317,0.1311,28.400891732092656
B2Gold Corp.,BTO,2021,1,27,6.3,Basic Materials,Gold,6620000000.0,10.29,7.24,2.72,0.0316,0.1311,27.131446297014346
B2Gold Corp.,BTO,2021,1,28,6.36,Basic Materials,Gold,6680000000.0,10.39,7.24,2.74,0.0316,0.1311,27.596549050019387
B2Gold Corp.,BTO,2021,1,29,6.32,Basic Materials,Gold,6640000000.0,10.33,7.09,2.72,0.0322,0.1311,27.221081185816704
B2Gold Corp.,BTO,2021,2,1,6.44,Basic Materials,Gold,6770000000.0,10.52,7.09,2.78,0.0322,0.1311,28.33326874636698
B2Gold Corp.,BTO,2021,2,2,6.37,Basic Materials,Gold,6690000000.0,10.41,7.09,2.75,0.0322,0.1311,27.734450687851194
B2Gold Corp.,BTO,2021,2,3,6.5,Basic Materials,Gold,6830000000.0,10.62,7.09,2.8,0.0316,0.1311,28.825126017836364
B2Gold Corp.,BTO,2021,2,4,6.37,Basic Materials,Gold,6690000000.0,10.41,7.09,2.75,0.032,0.1311,27.739825581395348
B2Gold Corp.,BTO,2021,2,5,6.43,Basic Materials,Gold,6760000000.0,10.51,7.09,2.77,0.032,0.1311,28.209980620155036
B2Gold Corp.,BTO,2021,2,8,6.52,Basic Materials,Gold,6850000000.0,10.65,7.09,2.81,0.0317,0.1311,29.006978772899096
B2Gold Corp.,BTO,2021,2,9,6.43,Basic Materials,Gold,6760000000.0,10.51,7.09,2.77,0.0317,0.1311,28.218183580498206
B2Gold Corp.,BTO,2021,2,10,6.44,Basic Materials,Gold,6770000000.0,10.52,7.09,2.78,0.031200000000000002,0.1311,28.360744763382467
B2Gold Corp.,BTO,2021,2,11,6.32,Basic Materials,Gold,6640000000.0,10.33,7.09,2.72,0.0317,0.1311,27.234273529126686
