Company Name,Symbol,Year,Month,Day,Close Price,Sector,Industry,Market Cap,Price to Earnings,PEG,Price to Book,Dividend,Payout Ratio,Value Metric
Forsys Metals Corp.,FSY,2021,1,6,0.335,Basic Materials,Other Industrial Metals & Mining,55910000.0,N/A,N/A,4.24,N/A,0.0,N/A
Forsys Metals Corp.,FSY,2021,1,7,0.315,Basic Materials,Other Industrial Metals & Mining,52570000.0,N/A,N/A,3.99,N/A,0.0,N/A
Forsys Metals Corp.,FSY,2021,1,8,0.315,Basic Materials,Other Industrial Metals & Mining,52570000.0,N/A,N/A,3.99,N/A,0.0,N/A
Forsys Metals Corp.,FSY,2021,1,11,0.275,Basic Materials,Other Industrial Metals & Mining,45900000.0,N/A,N/A,3.48,N/A,0.0,N/A
Forsys Metals Corp.,FSY,2021,1,12,0.26,Basic Materials,Other Industrial Metals & Mining,43390000.0,N/A,N/A,3.29,N/A,0.0,N/A
Forsys Metals Corp.,FSY,2021,1,13,0.295,Basic Materials,Other Industrial Metals & Mining,49240000.0,N/A,N/A,3.73,N/A,0.0,N/A
Forsys Metals Corp.,FSY,2021,1,14,0.31,Basic Materials,Other Industrial Metals & Mining,51740000.0,N/A,N/A,3.92,N/A,0.0,N/A
Forsys Metals Corp.,FSY,2021,1,15,0.31,Basic Materials,Other Industrial Metals & Mining,51740000.0,N/A,N/A,3.92,N/A,0.0,N/A
Forsys Metals Corp.,FSY,2021,1,18,0.31,Basic Materials,Other Industrial Metals & Mining,51740000.0,N/A,N/A,3.92,N/A,0.0,N/A
Forsys Metals Corp.,FSY,2021,1,19,0.31,Basic Materials,Other Industrial Metals & Mining,51740000.0,N/A,N/A,3.92,N/A,0.0,N/A
