Company Name,Symbol,Year,Month,Day,Close Price,Sector,Industry,Market Cap,Price to Earnings,PEG,Price to Book,Dividend,Payout Ratio,Value Metric
Charlotte's Web Holdings Inc.,CWEB,2021,1,6,5.56,Healthcare,Drug Manufacturers—Specialty & Generic,773310000.0,N/A,N/A,2.9,N/A,0.0,N/A
Charlotte's Web Holdings Inc.,CWEB,2021,1,7,5.88,Healthcare,Drug Manufacturers—Specialty & Generic,817810000.0,N/A,N/A,3.07,N/A,0.0,N/A
Charlotte's Web Holdings Inc.,CWEB,2021,1,8,5.64,Healthcare,Drug Manufacturers—Specialty & Generic,784430000.0,N/A,N/A,2.94,N/A,0.0,N/A
Charlotte's Web Holdings Inc.,CWEB,2021,1,11,5.9,Healthcare,Drug Manufacturers—Specialty & Generic,820600000.0,N/A,N/A,3.08,N/A,0.0,N/A
Charlotte's Web Holdings Inc.,CWEB,2021,1,12,5.75,Healthcare,Drug Manufacturers—Specialty & Generic,799730000.0,N/A,N/A,3.0,N/A,0.0,N/A
Charlotte's Web Holdings Inc.,CWEB,2021,1,13,5.78,Healthcare,Drug Manufacturers—Specialty & Generic,803910000.0,N/A,N/A,3.02,N/A,0.0,N/A
Charlotte's Web Holdings Inc.,CWEB,2021,1,14,6.06,Healthcare,Drug Manufacturers—Specialty & Generic,842850000.0,N/A,N/A,3.16,N/A,0.0,N/A
Charlotte's Web Holdings Inc.,CWEB,2021,1,15,6.1,Healthcare,Drug Manufacturers—Specialty & Generic,848410000.0,N/A,N/A,3.18,N/A,0.0,N/A
Charlotte's Web Holdings Inc.,CWEB,2021,1,18,6.15,Healthcare,Drug Manufacturers—Specialty & Generic,855370000.0,N/A,N/A,3.21,N/A,0.0,N/A
Charlotte's Web Holdings Inc.,CWEB,2021,1,19,6.07,Healthcare,Drug Manufacturers—Specialty & Generic,844240000.0,N/A,N/A,3.17,N/A,0.0,N/A
