Company Name,Symbol,Year,Month,Day,Close Price,Sector,Industry,Market Cap,Price to Earnings,PEG,Price to Book,Dividend,Payout Ratio,Value Metric
Resolute Forest Products Inc.,RFP,2021,1,6,8.84,Basic Materials,Paper & Paper Products,725520000.0,N/A,N/A,0.56,N/A,0.0,N/A
Resolute Forest Products Inc.,RFP,2021,1,7,9.16,Basic Materials,Paper & Paper Products,748590000.0,N/A,N/A,0.58,N/A,0.0,N/A
Resolute Forest Products Inc.,RFP,2021,1,8,9.08,Basic Materials,Paper & Paper Products,736230000.0,N/A,N/A,0.58,N/A,0.0,N/A
Resolute Forest Products Inc.,RFP,2021,1,11,9.39,Basic Materials,Paper & Paper Products,765940000.0,N/A,N/A,0.6,N/A,0.0,N/A
Resolute Forest Products Inc.,RFP,2021,1,12,9.3,Basic Materials,Paper & Paper Products,752660000.0,N/A,N/A,0.59,N/A,0.0,N/A
Resolute Forest Products Inc.,RFP,2021,1,13,9.22,Basic Materials,Paper & Paper Products,748720000.0,N/A,N/A,0.59,N/A,0.0,N/A
Resolute Forest Products Inc.,RFP,2021,1,14,9.4,Basic Materials,Paper & Paper Products,768080000.0,N/A,N/A,0.6,N/A,0.0,N/A
Resolute Forest Products Inc.,RFP,2021,1,15,9.6,Basic Materials,Paper & Paper Products,783580000.0,N/A,N/A,0.61,N/A,0.0,N/A
Resolute Forest Products Inc.,RFP,2021,1,18,9.81,Basic Materials,Paper & Paper Products,793570000.0,N/A,N/A,0.62,N/A,0.0,N/A
Resolute Forest Products Inc.,RFP,2021,1,19,10.24,Basic Materials,Paper & Paper Products,826750000.0,N/A,N/A,0.65,N/A,0.0,N/A
Resolute Forest Products Inc.,RFP,2021,1,20,10.62,Basic Materials,Paper & Paper Products,867020000.0,N/A,N/A,0.68,N/A,0.0,N/A
Resolute Forest Products Inc.,RFP,2021,1,21,10.53,Basic Materials,Paper & Paper Products,863060000.0,N/A,N/A,0.67,N/A,0.0,N/A
Resolute Forest Products Inc.,RFP,2021,1,22,10.31,Basic Materials,Paper & Paper Products,839730000.0,N/A,N/A,0.66,N/A,0.0,N/A
Resolute Forest Products Inc.,RFP,2021,1,25,10.53,Basic Materials,Paper & Paper Products,852170000.0,N/A,N/A,0.67,N/A,0.0,N/A
Resolute Forest Products Inc.,RFP,2021,1,26,10.26,Basic Materials,Paper & Paper Products,832000000.0,N/A,N/A,0.65,N/A,0.0,N/A
Resolute Forest Products Inc.,RFP,2021,1,27,10.08,Basic Materials,Paper & Paper Products,826650000.0,N/A,N/A,0.64,N/A,0.0,N/A
Resolute Forest Products Inc.,RFP,2021,1,28,10.22,Basic Materials,Paper & Paper Products,824860000.0,N/A,N/A,0.65,N/A,0.0,N/A
Resolute Forest Products Inc.,RFP,2021,1,29,10.47,Basic Materials,Paper & Paper Products,852690000.0,N/A,N/A,0.67,N/A,0.0,N/A
Resolute Forest Products Inc.,RFP,2021,2,1,11.16,Basic Materials,Paper & Paper Products,908880000.0,N/A,N/A,0.71,N/A,0.0,N/A
Resolute Forest Products Inc.,RFP,2021,2,2,11.23,Basic Materials,Paper & Paper Products,912910000.0,N/A,N/A,0.71,N/A,0.0,N/A
Resolute Forest Products Inc.,RFP,2021,2,3,11.39,Basic Materials,Paper & Paper Products,933900000.0,N/A,N/A,0.72,N/A,0.0,N/A
Resolute Forest Products Inc.,RFP,2021,2,4,10.36,Basic Materials,Paper & Paper Products,841150000.0,N/A,N/A,0.66,N/A,0.0,N/A
Resolute Forest Products Inc.,RFP,2021,2,5,10.05,Basic Materials,Paper & Paper Products,818390000.0,86.64,N/A,0.76,N/A,0.0,65.8464
Resolute Forest Products Inc.,RFP,2021,2,8,10.51,Basic Materials,Paper & Paper Products,863920000.0,90.6,N/A,0.8,N/A,0.0,72.48
Resolute Forest Products Inc.,RFP,2021,2,9,10.97,Basic Materials,Paper & Paper Products,900250000.0,94.57,N/A,0.83,N/A,0.0,78.49309999999998
Resolute Forest Products Inc.,RFP,2021,2,9,10.97,Basic Materials,Paper & Paper Products,900250000.0,94.57,N/A,0.83,N/A,0.0,78.49309999999998
Resolute Forest Products Inc.,RFP,2021,2,10,11.74,Basic Materials,Paper & Paper Products,959390000.0,101.21,N/A,0.89,N/A,0.0,90.0769
Resolute Forest Products Inc.,RFP,2021,2,11,12.64,Basic Materials,Paper & Paper Products,1030000000.0,108.97,N/A,0.96,N/A,0.0,104.6112
Resolute Forest Products Inc.,RFP,2021,2,12,13.25,Basic Materials,Paper & Paper Products,1080000000.0,114.22,N/A,1.01,N/A,0.0,115.3622
Resolute Forest Products Inc.,RFP,2021,2,16,13.47,Basic Materials,Paper & Paper Products,1100000000.0,116.12,N/A,1.02,N/A,0.0,118.4424
Resolute Forest Products Inc.,RFP,2021,2,17,12.12,Basic Materials,Paper & Paper Products,984710000.0,104.48,N/A,0.92,N/A,0.0,96.1216
Resolute Forest Products Inc.,RFP,2021,2,18,11.64,Basic Materials,Paper & Paper Products,951560000.0,100.34,N/A,0.88,N/A,0.0,88.2992
