Company Name,Symbol,Year,Month,Day,Close Price,Sector,Industry,Market Cap,Price to Earnings,PEG,Price to Book,Dividend,Payout Ratio,Value Metric
FAX Capital Corp.,FXC,2021,1,6,3.6,Financial Services,Capital Markets,154710000.0,23.53,N/A,0.8,N/A,0.0,18.824
FAX Capital Corp.,FXC,2021,1,7,3.59,Financial Services,Capital Markets,154280000.0,23.46,N/A,0.8,N/A,0.0,18.768
FAX Capital Corp.,FXC,2021,1,8,3.46,Financial Services,Capital Markets,148700000.0,22.61,N/A,0.77,N/A,0.0,17.4097
FAX Capital Corp.,FXC,2021,1,11,3.58,Financial Services,Capital Markets,153850000.0,23.4,N/A,0.8,N/A,0.0,18.72
FAX Capital Corp.,FXC,2021,1,12,3.7,Financial Services,Capital Markets,159010000.0,24.18,N/A,0.82,N/A,0.0,19.8276
FAX Capital Corp.,FXC,2021,1,13,3.65,Financial Services,Capital Markets,156860000.0,23.86,N/A,0.81,N/A,0.0,19.3266
FAX Capital Corp.,FXC,2021,1,14,3.73,Financial Services,Capital Markets,160300000.0,24.38,N/A,0.83,N/A,0.0,20.2354
FAX Capital Corp.,FXC,2021,1,15,3.68,Financial Services,Capital Markets,158150000.0,24.05,N/A,0.82,N/A,0.0,19.721
FAX Capital Corp.,FXC,2021,1,18,3.71,Financial Services,Capital Markets,159440000.0,24.25,N/A,0.83,N/A,0.0,20.127499999999998
FAX Capital Corp.,FXC,2021,1,19,3.7,Financial Services,Capital Markets,159010000.0,24.18,N/A,0.82,N/A,0.0,19.8276
FAX Capital Corp.,FXC,2021,1,20,3.74,Financial Services,Capital Markets,160730000.0,24.44,N/A,0.83,N/A,0.0,20.2852
FAX Capital Corp.,FXC,2021,1,21,3.66,Financial Services,Capital Markets,157290000.0,23.92,N/A,0.82,N/A,0.0,19.6144
FAX Capital Corp.,FXC,2021,1,22,3.65,Financial Services,Capital Markets,156860000.0,23.86,N/A,0.81,N/A,0.0,19.3266
FAX Capital Corp.,FXC,2021,1,25,3.68,Financial Services,Capital Markets,158150000.0,24.05,N/A,0.82,N/A,0.0,19.721
FAX Capital Corp.,FXC,2021,1,26,3.67,Financial Services,Capital Markets,157720000.0,23.99,N/A,0.82,N/A,0.0,19.671799999999998
