Company Name,Symbol,Year,Month,Day,Close Price,Sector,Industry,Market Cap,Price to Earnings,PEG,Price to Book,Dividend,Payout Ratio,Value Metric
American Hotel Income Properties REIT LP,HOT-UN,2021,1,6,3.27,Real Estate,REIT—Hotel & Motel,255820000.0,N/A,N/A,0.71,N/A,N/A,N/A
American Hotel Income Properties REIT LP,HOT-UN,2021,1,7,3.39,Real Estate,REIT—Hotel & Motel,265209999.99999997,N/A,N/A,0.73,N/A,N/A,N/A
American Hotel Income Properties REIT LP,HOT-UN,2021,1,8,3.33,Real Estate,REIT—Hotel & Motel,260519999.99999997,N/A,N/A,0.72,N/A,N/A,N/A
American Hotel Income Properties REIT LP,HOT-UN,2021,1,11,3.33,Real Estate,REIT—Hotel & Motel,260519999.99999997,N/A,N/A,0.72,N/A,N/A,N/A
American Hotel Income Properties REIT LP,HOT-UN,2021,1,12,3.31,Real Estate,REIT—Hotel & Motel,258950000.0,N/A,N/A,0.71,N/A,N/A,N/A
American Hotel Income Properties REIT LP,HOT-UN,2021,1,13,3.28,Real Estate,REIT—Hotel & Motel,256600000.00000003,N/A,N/A,0.71,N/A,N/A,N/A
American Hotel Income Properties REIT LP,HOT-UN,2021,1,14,3.35,Real Estate,REIT—Hotel & Motel,262079999.99999997,N/A,N/A,0.72,N/A,N/A,N/A
American Hotel Income Properties REIT LP,HOT-UN,2021,1,15,3.3,Real Estate,REIT—Hotel & Motel,258170000.00000003,N/A,N/A,0.71,N/A,N/A,N/A
American Hotel Income Properties REIT LP,HOT-UN,2021,1,18,3.37,Real Estate,REIT—Hotel & Motel,263640000.0,N/A,N/A,0.73,N/A,N/A,N/A
American Hotel Income Properties REIT LP,HOT-UN,2021,1,19,3.51,Real Estate,REIT—Hotel & Motel,274600000.0,N/A,N/A,0.76,N/A,N/A,N/A
American Hotel Income Properties REIT LP,HOT-UN,2021,1,20,3.54,Real Estate,REIT—Hotel & Motel,276940000.0,N/A,N/A,0.76,N/A,N/A,N/A
American Hotel Income Properties REIT LP,HOT-UN,2021,1,21,3.42,Real Estate,REIT—Hotel & Motel,267560000.0,N/A,N/A,0.74,N/A,N/A,N/A
American Hotel Income Properties REIT LP,HOT-UN,2021,1,22,3.38,Real Estate,REIT—Hotel & Motel,264430000.0,N/A,N/A,0.73,N/A,N/A,N/A
American Hotel Income Properties REIT LP,HOT-UN,2021,1,25,3.24,Real Estate,REIT—Hotel & Motel,253470000.0,N/A,N/A,0.7,N/A,N/A,N/A
American Hotel Income Properties REIT LP,HOT-UN,2021,1,26,3.21,Real Estate,REIT—Hotel & Motel,251130000.0,N/A,N/A,0.69,N/A,N/A,N/A
American Hotel Income Properties REIT LP,HOT-UN,2021,1,27,3.15,Real Estate,REIT—Hotel & Motel,246430000.0,N/A,N/A,0.68,N/A,N/A,N/A
American Hotel Income Properties REIT LP,HOT-UN,2021,1,28,3.14,Real Estate,REIT—Hotel & Motel,245650000.0,N/A,N/A,0.68,N/A,N/A,N/A
American Hotel Income Properties REIT LP,HOT-UN,2021,1,29,3.19,Real Estate,REIT—Hotel & Motel,249560000.0,N/A,N/A,0.69,N/A,N/A,N/A
American Hotel Income Properties REIT LP,HOT-UN,2021,2,1,3.28,Real Estate,REIT—Hotel & Motel,256600000.00000003,N/A,N/A,0.71,N/A,N/A,N/A
American Hotel Income Properties REIT LP,HOT-UN,2021,2,2,3.24,Real Estate,REIT—Hotel & Motel,253470000.0,N/A,N/A,0.7,N/A,N/A,N/A
American Hotel Income Properties REIT LP,HOT-UN,2021,2,3,3.2,Real Estate,REIT—Hotel & Motel,250350000.0,N/A,N/A,0.69,N/A,N/A,N/A
American Hotel Income Properties REIT LP,HOT-UN,2021,2,4,3.21,Real Estate,REIT—Hotel & Motel,251130000.0,N/A,N/A,0.69,N/A,N/A,N/A
American Hotel Income Properties REIT LP,HOT-UN,2021,2,5,3.33,Real Estate,REIT—Hotel & Motel,260519999.99999997,N/A,N/A,0.72,N/A,N/A,N/A
American Hotel Income Properties REIT LP,HOT-UN,2021,2,8,3.39,Real Estate,REIT—Hotel & Motel,265209999.99999997,N/A,N/A,0.73,N/A,N/A,N/A
American Hotel Income Properties REIT LP,HOT-UN,2021,2,9,3.33,Real Estate,REIT—Hotel & Motel,260519999.99999997,N/A,N/A,0.72,N/A,N/A,N/A
American Hotel Income Properties REIT LP,HOT-UN,2021,2,10,3.32,Real Estate,REIT—Hotel & Motel,259730000.00000003,N/A,N/A,0.72,N/A,N/A,N/A
American Hotel Income Properties REIT LP,HOT-UN,2021,2,11,3.25,Real Estate,REIT—Hotel & Motel,254260000.0,N/A,N/A,0.7,N/A,N/A,N/A
American Hotel Income Properties REIT LP,HOT-UN,2021,2,12,3.26,Real Estate,REIT—Hotel & Motel,255040000.0,N/A,N/A,0.7,N/A,N/A,N/A
American Hotel Income Properties REIT LP,HOT-UN,2021,2,16,3.38,Real Estate,REIT—Hotel & Motel,264430000.0,N/A,N/A,0.73,N/A,N/A,N/A
American Hotel Income Properties REIT LP,HOT-UN,2021,2,17,3.38,Real Estate,REIT—Hotel & Motel,264430000.0,N/A,N/A,0.73,N/A,N/A,N/A
