Company Name,Symbol,Year,Month,Day,Close Price,Sector,Industry,Market Cap,Price to Earnings,PEG,Price to Book,Dividend,Payout Ratio,Value Metric
MCAN Mortgage Corporation,MKP,2021,1,6,15.95,Financial Services,Mortgage Finance,394400000.0,12.4,N/A,1.18,0.0843,1.0388,13.494420363368071
MCAN Mortgage Corporation,MKP,2021,1,7,15.85,Financial Services,Mortgage Finance,391920000.0,12.33,N/A,1.18,0.08529999999999999,1.0388,13.4058785589238
MCAN Mortgage Corporation,MKP,2021,1,8,15.73,Financial Services,Mortgage Finance,388960000.0,12.23,N/A,1.17,0.08529999999999999,1.0388,13.184465124850272
MCAN Mortgage Corporation,MKP,2021,1,11,15.73,Financial Services,Mortgage Finance,388960000.0,12.23,N/A,1.17,0.08650000000000001,1.0388,13.169903359410952
MCAN Mortgage Corporation,MKP,2021,1,12,15.85,Financial Services,Mortgage Finance,391920000.0,12.33,N/A,1.18,0.08650000000000001,1.0388,13.391072250345143
MCAN Mortgage Corporation,MKP,2021,1,13,15.83,Financial Services,Mortgage Finance,391430000.0,12.31,N/A,1.18,0.0858,1.0388,13.377970160250506
MCAN Mortgage Corporation,MKP,2021,1,14,15.87,Financial Services,Mortgage Finance,392420000.0,12.34,N/A,1.18,0.0859,1.0388,13.409337876415874
MCAN Mortgage Corporation,MKP,2021,1,15,15.85,Financial Services,Mortgage Finance,391920000.0,12.33,N/A,1.18,0.0859,1.0388,13.39847131411732
MCAN Mortgage Corporation,MKP,2021,1,18,15.84,Financial Services,Mortgage Finance,391680000.0,12.32,N/A,1.18,0.0858,1.0388,13.38883772333763
MCAN Mortgage Corporation,MKP,2021,1,19,15.95,Financial Services,Mortgage Finance,394400000.0,12.4,N/A,1.18,0.0859,1.0388,13.4745372502072
MCAN Mortgage Corporation,MKP,2021,1,20,15.92,Financial Services,Mortgage Finance,393660000.0,12.38,N/A,1.18,0.08529999999999999,1.0388,13.460241407905649
MCAN Mortgage Corporation,MKP,2021,1,21,16.0,Financial Services,Mortgage Finance,395630000.0,12.44,N/A,1.19,0.08539999999999999,1.0388,13.638842822922426
MCAN Mortgage Corporation,MKP,2021,1,22,15.99,Financial Services,Mortgage Finance,395390000.0,12.43,N/A,1.19,0.085,1.0388,13.632903225806452
MCAN Mortgage Corporation,MKP,2021,1,25,15.9,Financial Services,Mortgage Finance,393160000.0,12.36,N/A,1.18,0.0851,1.0388,13.440973182195188
MCAN Mortgage Corporation,MKP,2021,1,26,15.93,Financial Services,Mortgage Finance,393900000.0,12.39,N/A,1.18,0.0855,1.0388,13.468631966835561
MCAN Mortgage Corporation,MKP,2021,1,27,15.83,Financial Services,Mortgage Finance,N/A,N/A,N/A,1.18,N/A,N/A,N/A
MCAN Mortgage Corporation,MKP,2021,1,28,15.71,Financial Services,Mortgage Finance,388460000.0,12.22,N/A,1.17,0.0859,1.0388,13.166405746385486
MCAN Mortgage Corporation,MKP,2021,1,29,15.58,Financial Services,Mortgage Finance,385250000.0,12.12,N/A,1.16,0.0873,1.0388,12.930378000551825
MCAN Mortgage Corporation,MKP,2021,2,1,15.66,Financial Services,Mortgage Finance,387230000.0,12.18,N/A,1.16,0.0873,1.0388,12.994389772831784
MCAN Mortgage Corporation,MKP,2021,2,2,15.9,Financial Services,Mortgage Finance,393160000.0,12.36,N/A,1.18,0.0873,1.0388,13.41377724639014
MCAN Mortgage Corporation,MKP,2021,2,3,15.95,Financial Services,Mortgage Finance,394400000.0,12.4,N/A,1.18,0.0855,1.0388,13.479502533394749
MCAN Mortgage Corporation,MKP,2021,2,4,15.93,Financial Services,Mortgage Finance,393900000.0,12.39,N/A,1.18,0.0855,1.0388,13.468631966835561
MCAN Mortgage Corporation,MKP,2021,2,5,15.96,Financial Services,Mortgage Finance,395140000.0,12.41,N/A,1.19,0.08529999999999999,1.0388,13.607205381000645
MCAN Mortgage Corporation,MKP,2021,2,8,15.97,Financial Services,Mortgage Finance,394890000.0,12.42,N/A,1.19,0.0852,1.0388,13.61942499078511
MCAN Mortgage Corporation,MKP,2021,2,9,15.93,Financial Services,Mortgage Finance,393900000.0,12.39,N/A,1.18,0.0852,1.0388,13.472355326207152
MCAN Mortgage Corporation,MKP,2021,2,9,15.93,Financial Services,Mortgage Finance,393900000.0,12.39,N/A,1.18,0.0852,1.0388,13.472355326207152
MCAN Mortgage Corporation,MKP,2021,2,10,15.8,Financial Services,Mortgage Finance,390690000.0,12.29,N/A,1.17,0.0852,1.0388,13.25036859565057
