Company Name,Symbol,Year,Month,Day,Close Price,Sector,Industry,Market Cap,Price to Earnings,PEG,Price to Book,Dividend,Payout Ratio,Value Metric
Brookfield Renewable Partners L.P.,BEP-UN,2021,1,6,60.22,Utilities,Utilities由enewable,16550000000.0,N/A,-2.34,3.29,0.0254,N/A,N/A
Brookfield Renewable Partners L.P.,BEP-UN,2021,1,7,61.6,Utilities,Utilities由enewable,16930000000.0,N/A,-2.57,3.37,0.0254,N/A,N/A
Brookfield Renewable Partners L.P.,BEP-UN,2021,1,8,62.08,Utilities,Utilities由enewable,17059999999.999998,N/A,-2.63,3.39,0.024,N/A,N/A
Brookfield Renewable Partners L.P.,BEP-UN,2021,1,11,60.72,Utilities,Utilities由enewable,16690000000.000002,N/A,-2.63,3.32,0.024,N/A,N/A
Brookfield Renewable Partners L.P.,BEP-UN,2021,1,12,60.31,Utilities,Utilities由enewable,16570000000.0,N/A,-2.63,3.29,0.023799999999999998,N/A,N/A
Brookfield Renewable Partners L.P.,BEP-UN,2021,1,13,59.85,Utilities,Utilities由enewable,16450000000.0,N/A,-2.63,3.27,0.0245,N/A,N/A
Brookfield Renewable Partners L.P.,BEP-UN,2021,1,14,57.64,Utilities,Utilities由enewable,15840000000.0,N/A,-2.63,3.15,0.0245,N/A,N/A
Brookfield Renewable Partners L.P.,BEP-UN,2021,1,15,57.37,Utilities,Utilities由enewable,15770000000.0,N/A,-2.63,3.13,0.0256,N/A,N/A
Brookfield Renewable Partners L.P.,BEP-UN,2021,1,18,57.61,Utilities,Utilities由enewable,15830000000.0,N/A,-2.63,3.15,0.0256,N/A,N/A
Brookfield Renewable Partners L.P.,BEP-UN,2021,1,19,59.57,Utilities,Utilities由enewable,16370000000.000002,N/A,-2.63,3.25,0.025699999999999997,N/A,N/A
Brookfield Renewable Partners L.P.,BEP-UN,2021,1,20,60.43,Utilities,Utilities由enewable,16610000000.0,N/A,-2.53,3.3,0.0248,N/A,N/A
Brookfield Renewable Partners L.P.,BEP-UN,2021,1,21,61.83,Utilities,Utilities由enewable,16989999999.999998,N/A,-2.59,3.38,0.0248,N/A,N/A
Brookfield Renewable Partners L.P.,BEP-UN,2021,1,22,62.7,Utilities,Utilities由enewable,17230000000.0,N/A,-2.59,3.43,0.0239,N/A,N/A
Brookfield Renewable Partners L.P.,BEP-UN,2021,1,25,61.5,Utilities,Utilities由enewable,16899999999.999998,N/A,-2.59,3.36,0.0239,N/A,N/A
Brookfield Renewable Partners L.P.,BEP-UN,2021,1,26,59.7,Utilities,Utilities由enewable,16410000000.0,N/A,-2.59,3.26,0.0235,N/A,N/A
Brookfield Renewable Partners L.P.,BEP-UN,2021,1,27,58.49,Utilities,Utilities由enewable,16070000000.0,N/A,-2.59,3.2,0.024700000000000003,N/A,N/A
Brookfield Renewable Partners L.P.,BEP-UN,2021,1,28,58.62,Utilities,Utilities由enewable,16110000000.0,N/A,-2.59,3.2,0.024700000000000003,N/A,N/A
Brookfield Renewable Partners L.P.,BEP-UN,2021,1,29,58.05,Utilities,Utilities由enewable,15950000000.0,N/A,-2.59,3.17,0.0252,N/A,N/A
Brookfield Renewable Partners L.P.,BEP-UN,2021,2,1,58.88,Utilities,Utilities由enewable,16180000000.0,N/A,-2.59,3.22,0.0252,N/A,N/A
Brookfield Renewable Partners L.P.,BEP-UN,2021,2,1,58.88,Utilities,Utilities由enewable,16180000000.0,N/A,-2.51,3.22,0.0252,N/A,N/A
Brookfield Renewable Partners L.P.,BEP-UN,2021,2,2,58.73,Utilities,Utilities由enewable,16140000000.0,N/A,-2.51,3.21,0.0254,N/A,N/A
Brookfield Renewable Partners L.P.,BEP-UN,2021,2,3,57.9,Utilities,Utilities由enewable,15910000000.0,N/A,-2.51,3.16,0.025099999999999997,N/A,N/A
Brookfield Renewable Partners L.P.,BEP-UN,2021,2,4,59.18,Utilities,Utilities由enewable,16260000000.000002,N/A,-2.51,3.23,0.025099999999999997,N/A,N/A
Brookfield Renewable Partners L.P.,BEP-UN,2021,2,5,60.09,Utilities,Utilities由enewable,16510000000.000002,N/A,2.11,2.71,0.024900000000000002,N/A,N/A
Brookfield Renewable Partners L.P.,BEP-UN,2021,2,8,61.49,Utilities,Utilities由enewable,16899999999.999998,N/A,2.11,2.77,0.024900000000000002,N/A,N/A
Brookfield Renewable Partners L.P.,BEP-UN,2021,2,9,60.63,Utilities,Utilities由enewable,16660000000.0,N/A,2.11,2.73,0.024900000000000002,N/A,N/A
Brookfield Renewable Partners L.P.,BEP-UN,2021,2,9,60.63,Utilities,Utilities由enewable,16660000000.0,N/A,2.11,2.73,0.024900000000000002,N/A,N/A
Brookfield Renewable Partners L.P.,BEP-UN,2021,2,10,59.6,Utilities,Utilities由enewable,16379999999.999998,N/A,4.46,2.69,0.024900000000000002,N/A,N/A
Brookfield Renewable Partners L.P.,BEP-UN,2021,2,11,59.15,Utilities,Utilities由enewable,16250000000.0,N/A,-80.29,2.67,N/A,N/A,N/A
