Company Name,Symbol,Year,Month,Day,Close Price,Sector,Industry,Market Cap,Price to Earnings,PEG,Price to Book,Dividend,Payout Ratio,Value Metric
Excellon Resources Inc.,EXN,2021,1,6,4.41,Basic Materials,Other Industrial Metals & Mining,141420000.0,N/A,N/A,2.69,N/A,0.0,N/A
Excellon Resources Inc.,EXN,2021,1,7,4.28,Basic Materials,Other Industrial Metals & Mining,137260000.0,N/A,N/A,2.61,N/A,0.0,N/A
Excellon Resources Inc.,EXN,2021,1,8,3.93,Basic Materials,Other Industrial Metals & Mining,126030000.0,N/A,N/A,2.4,N/A,0.0,N/A
Excellon Resources Inc.,EXN,2021,1,11,3.73,Basic Materials,Other Industrial Metals & Mining,119620000.0,N/A,N/A,2.28,N/A,0.0,N/A
Excellon Resources Inc.,EXN,2021,1,12,3.64,Basic Materials,Other Industrial Metals & Mining,116730000.0,N/A,N/A,2.22,N/A,0.0,N/A
Excellon Resources Inc.,EXN,2021,1,13,3.43,Basic Materials,Other Industrial Metals & Mining,110000000.0,N/A,N/A,2.09,N/A,0.0,N/A
Excellon Resources Inc.,EXN,2021,1,14,3.46,Basic Materials,Other Industrial Metals & Mining,110960000.0,N/A,N/A,2.11,N/A,0.0,N/A
Excellon Resources Inc.,EXN,2021,1,15,3.28,Basic Materials,Other Industrial Metals & Mining,105190000.0,N/A,N/A,2.0,N/A,0.0,N/A
Excellon Resources Inc.,EXN,2021,1,18,3.29,Basic Materials,Other Industrial Metals & Mining,105510000.0,N/A,N/A,2.01,N/A,0.0,N/A
Excellon Resources Inc.,EXN,2021,1,19,3.34,Basic Materials,Other Industrial Metals & Mining,107110000.0,N/A,N/A,2.04,N/A,0.0,N/A
Excellon Resources Inc.,EXN,2021,1,20,3.51,Basic Materials,Other Industrial Metals & Mining,112560000.0,N/A,N/A,2.14,N/A,0.0,N/A
Excellon Resources Inc.,EXN,2021,1,21,3.46,Basic Materials,Other Industrial Metals & Mining,110960000.0,N/A,N/A,2.11,N/A,0.0,N/A
Excellon Resources Inc.,EXN,2021,1,22,3.45,Basic Materials,Other Industrial Metals & Mining,110640000.0,N/A,N/A,2.1,N/A,0.0,N/A
Excellon Resources Inc.,EXN,2021,1,25,3.32,Basic Materials,Other Industrial Metals & Mining,106470000.0,N/A,N/A,2.03,N/A,0.0,N/A
Excellon Resources Inc.,EXN,2021,1,26,3.36,Basic Materials,Other Industrial Metals & Mining,107750000.0,N/A,N/A,2.05,N/A,0.0,N/A
Excellon Resources Inc.,EXN,2021,1,27,3.35,Basic Materials,Other Industrial Metals & Mining,107430000.0,N/A,N/A,2.04,N/A,0.0,N/A
Excellon Resources Inc.,EXN,2021,1,28,3.46,Basic Materials,Other Industrial Metals & Mining,110960000.0,N/A,N/A,2.11,N/A,0.0,N/A
Excellon Resources Inc.,EXN,2021,1,29,3.89,Basic Materials,Other Industrial Metals & Mining,124750000.0,N/A,N/A,2.37,N/A,0.0,N/A
Excellon Resources Inc.,EXN,2021,2,1,4.64,Basic Materials,Other Industrial Metals & Mining,148800000.0,N/A,N/A,2.83,N/A,0.0,N/A
Excellon Resources Inc.,EXN,2021,2,2,3.85,Basic Materials,Other Industrial Metals & Mining,123470000.0,N/A,N/A,2.35,N/A,0.0,N/A
