Company Name,Symbol,Year,Month,Day,Close Price,Sector,Industry,Market Cap,Price to Earnings,PEG,Price to Book,Dividend,Payout Ratio,Value Metric
Aeterna Zentaris Inc.,AEZS,2021,1,6,0.69,Healthcare,Biotechnology,43250000.0,N/A,N/A,2.85,N/A,0.0,N/A
Aeterna Zentaris Inc.,AEZS,2021,1,7,0.68,Healthcare,Biotechnology,42620000.0,N/A,N/A,2.81,N/A,0.0,N/A
Aeterna Zentaris Inc.,AEZS,2021,1,8,0.69,Healthcare,Biotechnology,43250000.0,N/A,N/A,2.85,N/A,0.0,N/A
Aeterna Zentaris Inc.,AEZS,2021,1,11,0.83,Healthcare,Biotechnology,52020000.0,N/A,N/A,3.43,N/A,0.0,N/A
Aeterna Zentaris Inc.,AEZS,2021,1,12,0.83,Healthcare,Biotechnology,52020000.0,N/A,N/A,3.43,N/A,0.0,N/A
Aeterna Zentaris Inc.,AEZS,2021,1,13,0.86,Healthcare,Biotechnology,53900000.0,N/A,N/A,3.55,N/A,0.0,N/A
Aeterna Zentaris Inc.,AEZS,2021,1,14,0.84,Healthcare,Biotechnology,52650000.0,N/A,N/A,3.47,N/A,0.0,N/A
Aeterna Zentaris Inc.,AEZS,2021,1,15,0.8,Healthcare,Biotechnology,50140000.0,N/A,N/A,3.31,N/A,0.0,N/A
Aeterna Zentaris Inc.,AEZS,2021,1,18,0.88,Healthcare,Biotechnology,55160000.0,N/A,N/A,3.64,N/A,0.0,N/A
Aeterna Zentaris Inc.,AEZS,2021,1,19,0.88,Healthcare,Biotechnology,55160000.0,N/A,N/A,3.64,N/A,0.0,N/A
