Company Name,Symbol,Year,Month,Day,Close Price,Sector,Industry,Market Cap,Price to Earnings,PEG,Price to Book,Dividend,Payout Ratio,Value Metric
Atalaya Mining Plc,AYM,2021,1,6,4.5,Basic Materials,Copper,643040000.0,16.42,N/A,1.93,N/A,0.0,31.690600000000003
Atalaya Mining Plc,AYM,2021,1,7,4.5,Basic Materials,Copper,604930000.0,16.42,N/A,1.93,N/A,0.0,31.690600000000003
Atalaya Mining Plc,AYM,2021,1,8,4.65,Basic Materials,Copper,640620000.0,16.97,N/A,1.99,N/A,0.0,33.7703
Atalaya Mining Plc,AYM,2021,1,8,4.65,Basic Materials,Copper,625370000.0,16.97,N/A,1.99,N/A,0.0,33.7703
Atalaya Mining Plc,AYM,2021,1,12,4.75,Basic Materials,Copper,658050000.0,17.34,N/A,2.03,N/A,0.0,35.200199999999995
Atalaya Mining Plc,AYM,2021,1,13,4.65,Basic Materials,Copper,630780000.0,16.97,N/A,1.99,N/A,0.0,33.7703
Atalaya Mining Plc,AYM,2021,1,14,4.75,Basic Materials,Copper,676560000.0,17.34,N/A,2.03,N/A,0.0,35.200199999999995
Atalaya Mining Plc,AYM,2021,1,15,4.9,Basic Materials,Copper,691520000.0,17.88,N/A,2.1,N/A,0.0,37.548
Atalaya Mining Plc,AYM,2021,1,18,4.9,Basic Materials,Copper,657440000.0,17.88,N/A,2.1,N/A,0.0,37.548
Atalaya Mining Plc,AYM,2021,1,19,4.88,Basic Materials,Copper,662860000.0,17.81,N/A,2.09,N/A,0.0,37.222899999999996
Atalaya Mining Plc,AYM,2021,1,19,4.88,Basic Materials,Copper,645930000.0,17.81,N/A,2.09,N/A,0.0,37.222899999999996
Atalaya Mining Plc,AYM,2021,1,21,4.85,Basic Materials,Copper,643490000.0,17.7,N/A,2.08,N/A,0.0,36.816
Atalaya Mining Plc,AYM,2021,1,22,4.94,Basic Materials,Copper,667770000.0,18.03,N/A,2.12,N/A,0.0,38.223600000000005
Atalaya Mining Plc,AYM,2021,1,25,4.9,Basic Materials,Copper,645960000.0,17.88,N/A,2.1,N/A,0.0,37.548
Atalaya Mining Plc,AYM,2021,1,26,5.0,Basic Materials,Copper,662920000.0,18.25,N/A,2.14,N/A,0.0,39.055
Atalaya Mining Plc,AYM,2021,1,27,4.9,Basic Materials,Copper,641650000.0,17.88,N/A,2.1,N/A,0.0,37.548
Atalaya Mining Plc,AYM,2021,1,28,4.95,Basic Materials,Copper,657220000.0,18.07,N/A,2.12,N/A,0.0,38.308400000000006
Atalaya Mining Plc,AYM,2021,1,29,4.75,Basic Materials,Copper,661660000.0,17.34,N/A,2.03,N/A,0.0,35.200199999999995
Atalaya Mining Plc,AYM,2021,2,1,4.61,Basic Materials,Copper,642160000.0,16.82,N/A,1.97,N/A,0.0,33.1354
Atalaya Mining Plc,AYM,2021,2,2,5.04,Basic Materials,Copper,723090000.0,18.39,N/A,2.16,N/A,0.0,39.7224
Atalaya Mining Plc,AYM,2021,2,3,4.9,Basic Materials,Copper,637180000.0,17.88,N/A,2.1,N/A,0.0,37.548
Atalaya Mining Plc,AYM,2021,2,4,4.96,Basic Materials,Copper,664340000.0,18.1,N/A,2.12,N/A,0.0,38.37200000000001
Atalaya Mining Plc,AYM,2021,2,5,5.35,Basic Materials,Copper,707440000.0,19.53,N/A,2.29,N/A,0.0,44.7237
Atalaya Mining Plc,AYM,2021,2,8,5.6,Basic Materials,Copper,717650000.0,20.44,N/A,2.4,N/A,0.0,49.056000000000004
Atalaya Mining Plc,AYM,2021,2,9,5.85,Basic Materials,Copper,743690000.0,21.35,N/A,2.51,N/A,0.0,53.588499999999996
Atalaya Mining Plc,AYM,2021,2,9,5.85,Basic Materials,Copper,743690000.0,21.35,N/A,2.51,N/A,0.0,53.588499999999996
