Company Name,Symbol,Year,Month,Day,Close Price,Sector,Industry,Market Cap,Price to Earnings,PEG,Price to Book,Dividend,Payout Ratio,Value Metric
First Quantum Minerals Ltd.,FM,2021,1,6,25.54,Basic Materials,Copper,17610000000.0,N/A,-74.64,1.93,0.0004,N/A,N/A
First Quantum Minerals Ltd.,FM,2021,1,7,26.22,Basic Materials,Copper,18080000000.0,N/A,-77.62,1.98,0.0004,N/A,N/A
First Quantum Minerals Ltd.,FM,2021,1,8,26.26,Basic Materials,Copper,18100000000.0,N/A,-79.61,1.98,0.0004,N/A,N/A
First Quantum Minerals Ltd.,FM,2021,1,11,24.68,Basic Materials,Copper,17010000000.000002,N/A,-79.76,1.86,0.0004,N/A,N/A
First Quantum Minerals Ltd.,FM,2021,1,12,25.25,Basic Materials,Copper,17410000000.0,N/A,-87.73,1.91,0.0004,N/A,N/A
First Quantum Minerals Ltd.,FM,2021,1,13,24.24,Basic Materials,Copper,16710000000.0,N/A,-87.73,1.83,0.0004,N/A,N/A
First Quantum Minerals Ltd.,FM,2021,1,14,24.7,Basic Materials,Copper,17030000000.000002,N/A,-8.7,1.86,0.0004,N/A,N/A
First Quantum Minerals Ltd.,FM,2021,1,15,22.99,Basic Materials,Copper,15850000000.0,N/A,-8.21,1.74,0.0004,N/A,N/A
First Quantum Minerals Ltd.,FM,2021,1,18,22.88,Basic Materials,Copper,15770000000.0,N/A,-8.43,1.73,0.0004,N/A,N/A
First Quantum Minerals Ltd.,FM,2021,1,19,24.19,Basic Materials,Copper,16680000000.0,N/A,-8.43,1.83,0.0004,N/A,N/A
First Quantum Minerals Ltd.,FM,2021,1,20,23.7,Basic Materials,Copper,16340000000.0,N/A,-4.6,1.79,0.0004,N/A,N/A
First Quantum Minerals Ltd.,FM,2021,1,21,23.45,Basic Materials,Copper,16170000000.000002,N/A,-4.55,1.77,0.0004,N/A,N/A
First Quantum Minerals Ltd.,FM,2021,1,22,23.54,Basic Materials,Copper,16230000000.0,N/A,-4.55,1.78,0.0004,N/A,N/A
First Quantum Minerals Ltd.,FM,2021,1,25,23.03,Basic Materials,Copper,15880000000.0,N/A,-4.55,1.74,0.0004,N/A,N/A
First Quantum Minerals Ltd.,FM,2021,1,26,21.35,Basic Materials,Copper,14720000000.0,N/A,-4.38,1.61,0.0005,N/A,N/A
First Quantum Minerals Ltd.,FM,2021,1,27,20.13,Basic Materials,Copper,13880000000.0,N/A,-4.86,1.52,0.0005,N/A,N/A
First Quantum Minerals Ltd.,FM,2021,1,28,21.79,Basic Materials,Copper,15020000000.0,N/A,-4.86,1.65,0.0005,N/A,N/A
First Quantum Minerals Ltd.,FM,2021,1,29,21.3,Basic Materials,Copper,14680000000.0,N/A,-4.86,1.61,0.0005,N/A,N/A
First Quantum Minerals Ltd.,FM,2021,2,1,22.15,Basic Materials,Copper,15270000000.0,N/A,-6.12,1.67,0.0005,N/A,N/A
First Quantum Minerals Ltd.,FM,2021,2,2,21.29,Basic Materials,Copper,14680000000.0,N/A,-6.12,1.61,0.0005,N/A,N/A
First Quantum Minerals Ltd.,FM,2021,2,3,22.35,Basic Materials,Copper,15410000000.0,N/A,-6.12,1.69,0.0005,N/A,N/A
