Company Name,Symbol,Year,Month,Day,Close Price,Sector,Industry,Market Cap,Price to Earnings,PEG,Price to Book,Dividend,Payout Ratio,Value Metric
Alexco Resource Corp.,AXU,2021,1,6,4.18,Basic Materials,Other Precious Metals & Mining,572910000.0,N/A,N/A,3.61,N/A,0.0,N/A
Alexco Resource Corp.,AXU,2021,1,7,4.1,Basic Materials,Other Precious Metals & Mining,561940000.0,N/A,N/A,3.54,N/A,0.0,N/A
Alexco Resource Corp.,AXU,2021,1,8,3.73,Basic Materials,Other Precious Metals & Mining,511230000.0,N/A,N/A,3.22,N/A,0.0,N/A
Alexco Resource Corp.,AXU,2021,1,11,3.63,Basic Materials,Other Precious Metals & Mining,497520000.0,N/A,N/A,3.13,N/A,0.0,N/A
Alexco Resource Corp.,AXU,2021,1,12,3.64,Basic Materials,Other Precious Metals & Mining,498890000.0,N/A,N/A,3.14,N/A,0.0,N/A
Alexco Resource Corp.,AXU,2021,1,13,3.51,Basic Materials,Other Precious Metals & Mining,481080000.0,N/A,N/A,3.03,N/A,0.0,N/A
Alexco Resource Corp.,AXU,2021,1,14,3.53,Basic Materials,Other Precious Metals & Mining,483820000.0,N/A,N/A,3.05,N/A,0.0,N/A
Alexco Resource Corp.,AXU,2021,1,15,3.32,Basic Materials,Other Precious Metals & Mining,455040000.0,N/A,N/A,2.86,N/A,0.0,N/A
Alexco Resource Corp.,AXU,2021,1,18,3.35,Basic Materials,Other Precious Metals & Mining,459150000.0,N/A,N/A,2.89,N/A,0.0,N/A
Alexco Resource Corp.,AXU,2021,1,19,3.43,Basic Materials,Other Precious Metals & Mining,470110000.0,N/A,N/A,2.96,N/A,0.0,N/A
Alexco Resource Corp.,AXU,2021,1,20,3.52,Basic Materials,Other Precious Metals & Mining,482450000.0,N/A,N/A,3.04,N/A,0.0,N/A
Alexco Resource Corp.,AXU,2021,1,21,3.44,Basic Materials,Other Precious Metals & Mining,471480000.0,N/A,N/A,2.97,N/A,0.0,N/A
Alexco Resource Corp.,AXU,2021,1,22,3.41,Basic Materials,Other Precious Metals & Mining,467370000.0,N/A,N/A,2.94,N/A,0.0,N/A
Alexco Resource Corp.,AXU,2021,1,25,3.35,Basic Materials,Other Precious Metals & Mining,459150000.0,N/A,N/A,2.89,N/A,0.0,N/A
Alexco Resource Corp.,AXU,2021,1,26,3.31,Basic Materials,Other Precious Metals & Mining,453670000.0,N/A,N/A,2.86,N/A,0.0,N/A
Alexco Resource Corp.,AXU,2021,1,27,3.19,Basic Materials,Other Precious Metals & Mining,437220000.0,N/A,N/A,2.75,N/A,0.0,N/A
Alexco Resource Corp.,AXU,2021,1,28,3.48,Basic Materials,Other Precious Metals & Mining,476970000.0,N/A,N/A,3.0,N/A,0.0,N/A
Alexco Resource Corp.,AXU,2021,1,29,3.59,Basic Materials,Other Precious Metals & Mining,501750000.0,N/A,N/A,3.1,N/A,0.0,N/A
Alexco Resource Corp.,AXU,2021,2,1,4.17,Basic Materials,Other Precious Metals & Mining,582820000.0,N/A,N/A,3.6,N/A,0.0,N/A
Alexco Resource Corp.,AXU,2021,2,2,3.7,Basic Materials,Other Precious Metals & Mining,517130000.0,N/A,N/A,3.19,N/A,0.0,N/A
