Company Name,Symbol,Year,Month,Day,Close Price,Sector,Industry,Market Cap,Price to Earnings,PEG,Price to Book,Dividend,Payout Ratio,Value Metric
Wajax Corporation,WJX,2021,1,6,17.1,Industrials,Industrial Distribution,342570000.0,10.62,0.77,1.07,0.06,0.6211,10.720188679245283
Wajax Corporation,WJX,2021,1,7,18.03,Industrials,Industrial Distribution,361210000.0,11.2,0.77,1.13,0.058499999999999996,0.6211,11.9565422768068
Wajax Corporation,WJX,2021,1,8,19.2,Industrials,Industrial Distribution,384650000.0,11.93,0.81,1.21,0.0555,0.6211,13.676267171956416
Wajax Corporation,WJX,2021,1,11,20.09,Industrials,Industrial Distribution,402480000.0,12.48,0.81,1.26,0.0521,0.6211,14.946107784431137
Wajax Corporation,WJX,2021,1,12,20.33,Industrials,Industrial Distribution,407280000.0,12.63,0.81,1.28,0.049800000000000004,0.6211,15.399504667555727
Wajax Corporation,WJX,2021,1,13,20.07,Industrials,Industrial Distribution,402070000.0,12.47,0.81,1.26,0.0492,0.6211,14.975409836065577
Wajax Corporation,WJX,2021,1,14,19.46,Industrials,Industrial Distribution,389850000.0,12.09,0.81,1.22,0.049800000000000004,0.6211,14.05010478186321
Wajax Corporation,WJX,2021,1,15,18.81,Industrials,Industrial Distribution,376830000.0,11.68,0.81,1.18,0.051399999999999994,0.6211,13.108617081985924
Wajax Corporation,WJX,2021,1,18,18.52,Industrials,Industrial Distribution,371020000.0,11.5,0.81,1.16,0.053200000000000004,0.6211,12.666160273452336
Wajax Corporation,WJX,2021,1,19,17.89,Industrials,Industrial Distribution,358400000.0,11.11,0.81,1.12,0.054000000000000006,0.6211,11.805692599620494
Wajax Corporation,WJX,2021,1,20,18.02,Industrials,Industrial Distribution,361010000.0,11.19,0.81,1.13,0.0559,0.6211,11.975281750165733
Wajax Corporation,WJX,2021,1,21,17.93,Industrials,Industrial Distribution,359200000.0,11.14,0.81,1.13,0.0555,0.6211,11.926290857413546
Wajax Corporation,WJX,2021,1,22,18.61,Industrials,Industrial Distribution,372830000.0,11.56,0.81,1.17,0.0558,0.6211,12.810380753930668
Wajax Corporation,WJX,2021,1,25,20.34,Industrials,Industrial Distribution,407480000.0,12.63,0.81,1.28,0.0537,0.6211,15.342507355034641
Wajax Corporation,WJX,2021,1,26,20.59,Industrials,Industrial Distribution,412490000.0,12.79,0.92,1.29,0.0492,0.6211,15.725409836065573
Wajax Corporation,WJX,2021,1,27,18.67,Industrials,Industrial Distribution,374030000.0,11.6,0.92,1.17,0.048600000000000004,0.6211,12.942971581155826
Wajax Corporation,WJX,2021,1,28,18.97,Industrials,Industrial Distribution,380040000.0,11.78,0.92,1.19,0.0536,0.6211,13.305049354593772
Wajax Corporation,WJX,2021,1,29,19.0,Industrials,Industrial Distribution,380640000.0,11.8,0.92,1.19,0.0526,0.6211,13.340300209006271
Wajax Corporation,WJX,2021,2,1,19.44,Industrials,Industrial Distribution,389450000.0,12.07,0.92,1.22,0.0526,0.6211,13.989549686490596
Wajax Corporation,WJX,2021,2,2,19.24,Industrials,Industrial Distribution,385450000.0,11.95,0.92,1.21,0.051399999999999994,0.6211,13.75261556020544
Wajax Corporation,WJX,2021,2,3,20.17,Industrials,Industrial Distribution,404080000.0,12.53,0.92,1.27,0.052000000000000005,0.6211,15.126520912547528
Wajax Corporation,WJX,2021,2,4,20.3,Industrials,Industrial Distribution,406680000.0,12.61,0.92,1.27,0.052000000000000005,0.6211,15.22309885931559
Wajax Corporation,WJX,2021,2,5,19.86,Industrials,Industrial Distribution,397870000.0,12.34,0.92,1.25,0.0493,0.6211,14.70027637472601
Wajax Corporation,WJX,2021,2,8,20.18,Industrials,Industrial Distribution,404280000.0,12.53,0.92,1.27,0.0504,0.6211,15.149562071591774
Wajax Corporation,WJX,2021,2,9,20.04,Industrials,Industrial Distribution,401470000.0,12.45,0.92,1.26,0.0496,0.6211,14.945693597560973
Wajax Corporation,WJX,2021,2,9,20.04,Industrials,Industrial Distribution,401470000.0,12.45,0.92,1.26,0.0496,0.6211,14.945693597560973
Wajax Corporation,WJX,2021,2,10,20.37,Industrials,Industrial Distribution,408080000.0,12.65,0.92,1.28,0.0499,0.6211,15.422421182969806
Wajax Corporation,WJX,2021,2,11,20.15,Industrials,Industrial Distribution,403680000.0,12.52,0.92,1.27,0.049100000000000005,0.6211,15.156229148794205
Wajax Corporation,WJX,2021,2,12,20.39,Industrials,Industrial Distribution,408490000.0,12.66,0.92,1.28,0.0496,0.6211,15.4390243902439
Wajax Corporation,WJX,2021,2,16,20.3,Industrials,Industrial Distribution,406680000.0,12.61,0.92,1.27,0.049,0.6211,15.266634890371785
Wajax Corporation,WJX,2021,2,17,20.43,Industrials,Industrial Distribution,409290000.0,12.69,0.92,1.28,0.0493,0.6211,15.480034308586676
Wajax Corporation,WJX,2021,2,18,20.22,Industrials,Industrial Distribution,405080000.0,12.56,0.92,1.27,0.0489,0.6211,15.207550767470684
Wajax Corporation,WJX,2021,2,19,20.56,Industrials,Industrial Distribution,411890000.0,12.77,0.92,1.29,0.0495,0.6211,15.696331586469745
Wajax Corporation,WJX,2021,2,22,20.64,Industrials,Industrial Distribution,413490000.0,12.82,0.92,1.3,0.048600000000000004,0.6211,15.893572382223919
Wajax Corporation,WJX,2021,2,23,20.17,Industrials,Industrial Distribution,404080000.0,12.53,0.92,1.27,0.0484,0.6211,15.178462418924076
Wajax Corporation,WJX,2021,2,24,20.99,Industrials,Industrial Distribution,420510000.0,13.04,0.92,1.32,0.0496,0.6211,16.399390243902438
Wajax Corporation,WJX,2021,2,25,20.9,Industrials,Industrial Distribution,418700000.0,12.98,0.92,1.31,0.047599999999999996,0.6211,16.231195112638414
Wajax Corporation,WJX,2021,2,26,20.61,Industrials,Industrial Distribution,412890000.0,12.8,0.92,1.29,0.0478,0.6211,15.758732582553922
Wajax Corporation,WJX,2021,3,1,22.39,Industrials,Industrial Distribution,448550000.0,13.91,0.92,1.41,0.048499999999999995,0.6211,18.705865522174534
Wajax Corporation,WJX,2021,3,2,19.68,Industrials,Industrial Distribution,394260000.0,12.7,0.92,1.21,0.0447,0.6211,14.709485976835454
Wajax Corporation,WJX,2021,3,3,19.82,Industrials,Industrial Distribution,397070000.0,12.79,0.81,1.22,0.0508,0.6211,14.849448039588884
