Company Name,Symbol,Year,Month,Day,Close Price,Sector,Industry,Market Cap,Price to Earnings,PEG,Price to Book,Dividend,Payout Ratio,Value Metric
TransGlobe Energy Corporation,TGL,2021,1,6,1.25,Energy,Oil & Gas E&P,90680000.0,N/A,N/A,0.65,N/A,0.0,N/A
TransGlobe Energy Corporation,TGL,2021,1,7,1.29,Energy,Oil & Gas E&P,93580000.0,N/A,N/A,0.67,N/A,0.0,N/A
TransGlobe Energy Corporation,TGL,2021,1,8,1.45,Energy,Oil & Gas E&P,105190000.0,N/A,N/A,0.76,N/A,0.0,N/A
TransGlobe Energy Corporation,TGL,2021,1,11,1.45,Energy,Oil & Gas E&P,105190000.0,N/A,N/A,0.76,N/A,0.0,N/A
TransGlobe Energy Corporation,TGL,2021,1,12,1.48,Energy,Oil & Gas E&P,107360000.0,N/A,N/A,0.77,N/A,0.0,N/A
TransGlobe Energy Corporation,TGL,2021,1,13,1.42,Energy,Oil & Gas E&P,103010000.0,N/A,N/A,0.74,N/A,0.0,N/A
TransGlobe Energy Corporation,TGL,2021,1,14,1.47,Energy,Oil & Gas E&P,106640000.0,N/A,N/A,0.77,N/A,0.0,N/A
TransGlobe Energy Corporation,TGL,2021,1,15,1.49,Energy,Oil & Gas E&P,108090000.0,N/A,N/A,0.78,N/A,0.0,N/A
TransGlobe Energy Corporation,TGL,2021,1,18,1.48,Energy,Oil & Gas E&P,107360000.0,N/A,N/A,0.77,N/A,0.0,N/A
TransGlobe Energy Corporation,TGL,2021,1,19,1.46,Energy,Oil & Gas E&P,105910000.0,N/A,N/A,0.76,N/A,0.0,N/A
TransGlobe Energy Corporation,TGL,2021,1,20,1.41,Energy,Oil & Gas E&P,102280000.0,N/A,N/A,0.74,N/A,0.0,N/A
TransGlobe Energy Corporation,TGL,2021,1,21,1.45,Energy,Oil & Gas E&P,105190000.0,N/A,N/A,0.76,N/A,0.0,N/A
TransGlobe Energy Corporation,TGL,2021,1,22,1.42,Energy,Oil & Gas E&P,103010000.0,N/A,N/A,0.74,N/A,0.0,N/A
TransGlobe Energy Corporation,TGL,2021,1,25,1.37,Energy,Oil & Gas E&P,99380000.0,N/A,N/A,0.72,N/A,0.0,N/A
TransGlobe Energy Corporation,TGL,2021,1,26,1.33,Energy,Oil & Gas E&P,96480000.0,N/A,N/A,0.69,N/A,0.0,N/A
TransGlobe Energy Corporation,TGL,2021,1,27,1.32,Energy,Oil & Gas E&P,95760000.0,N/A,N/A,0.69,N/A,0.0,N/A
TransGlobe Energy Corporation,TGL,2021,1,28,1.36,Energy,Oil & Gas E&P,98660000.0,N/A,N/A,0.71,N/A,0.0,N/A
TransGlobe Energy Corporation,TGL,2021,1,29,1.32,Energy,Oil & Gas E&P,95760000.0,N/A,N/A,0.69,N/A,0.0,N/A
TransGlobe Energy Corporation,TGL,2021,2,1,1.4,Energy,Oil & Gas E&P,101560000.0,N/A,N/A,0.73,N/A,0.0,N/A
TransGlobe Energy Corporation,TGL,2021,2,1,1.4,Energy,Oil & Gas E&P,101560000.0,N/A,N/A,0.73,N/A,0.0,N/A
TransGlobe Energy Corporation,TGL,2021,2,2,1.44,Energy,Oil & Gas E&P,104460000.0,N/A,N/A,0.75,N/A,0.0,N/A
TransGlobe Energy Corporation,TGL,2021,2,3,1.54,Energy,Oil & Gas E&P,111710000.0,N/A,N/A,0.8,N/A,0.0,N/A
TransGlobe Energy Corporation,TGL,2021,2,4,1.59,Energy,Oil & Gas E&P,115340000.0,N/A,N/A,0.83,N/A,0.0,N/A
TransGlobe Energy Corporation,TGL,2021,2,5,1.6,Energy,Oil & Gas E&P,116070000.0,N/A,N/A,0.84,N/A,0.0,N/A
TransGlobe Energy Corporation,TGL,2021,2,8,1.65,Energy,Oil & Gas E&P,119690000.0,N/A,N/A,0.86,N/A,0.0,N/A
TransGlobe Energy Corporation,TGL,2021,2,9,1.72,Energy,Oil & Gas E&P,124770000.0,N/A,N/A,0.9,N/A,0.0,N/A
TransGlobe Energy Corporation,TGL,2021,2,10,1.74,Energy,Oil & Gas E&P,126220000.0,N/A,N/A,0.91,N/A,0.0,N/A
TransGlobe Energy Corporation,TGL,2021,2,11,1.74,Energy,Oil & Gas E&P,126220000.0,N/A,N/A,0.91,N/A,0.0,N/A
TransGlobe Energy Corporation,TGL,2021,2,12,1.79,Energy,Oil & Gas E&P,129850000.0,N/A,N/A,0.93,N/A,0.0,N/A
TransGlobe Energy Corporation,TGL,2021,2,16,1.8,Energy,Oil & Gas E&P,130580000.00000001,N/A,N/A,0.94,N/A,0.0,N/A
