Company Name,Symbol,Year,Month,Day,Close Price,Sector,Industry,Market Cap,Price to Earnings,PEG,Price to Book,Dividend,Payout Ratio,Value Metric
Quebecor Inc.,QBR-B,2021,1,6,31.39,Communication Services,Telecom Services,7840000000.0,13.58,4.39,7.22,0.024700000000000003,0.3268,95.68420025373281
Quebecor Inc.,QBR-B,2021,1,7,31.51,Communication Services,Telecom Services,7860000000.0,13.63,4.21,7.25,0.0255,0.3268,96.3603120429059
Quebecor Inc.,QBR-B,2021,1,8,32.35,Communication Services,Telecom Services,8070000000.0,14.0,4.24,7.44,0.0255,0.3268,101.56996587030717
Quebecor Inc.,QBR-B,2021,1,11,32.11,Communication Services,Telecom Services,8000000000.0,13.89,4.36,7.38,0.024700000000000003,0.3268,100.03727920366937
Quebecor Inc.,QBR-B,2021,1,12,31.09,Communication Services,Telecom Services,7750000000.0,13.45,4.36,7.15,0.024700000000000003,0.3268,93.84941934224652
Quebecor Inc.,QBR-B,2021,1,13,30.7,Communication Services,Telecom Services,7740000000.0,13.28,4.36,7.06,0.025699999999999997,0.3268,91.40762406161643
Quebecor Inc.,QBR-B,2021,1,14,30.46,Communication Services,Telecom Services,7680000000.0,13.18,4.36,7.0,0.025699999999999997,0.3268,89.94832797114165
Quebecor Inc.,QBR-B,2021,1,15,30.72,Communication Services,Telecom Services,7670000000.0,13.29,4.36,7.06,0.026099999999999998,0.3268,91.44079524412824
Quebecor Inc.,QBR-B,2021,1,18,30.68,Communication Services,Telecom Services,7670000000.0,13.28,4.36,7.05,0.026099999999999998,0.3268,91.2425689503947
Quebecor Inc.,QBR-B,2021,1,19,30.18,Communication Services,Telecom Services,7540000000.0,13.06,4.36,6.94,0.0265,0.3268,88.29654164637118
Quebecor Inc.,QBR-B,2021,1,20,30.66,Communication Services,Telecom Services,7660000000.0,13.27,4.07,7.05,0.0265,0.3268,91.13833414515344
Quebecor Inc.,QBR-B,2021,1,21,30.51,Communication Services,Telecom Services,7630000000.0,13.2,4.13,7.02,0.026099999999999998,0.3268,90.30698762303868
Quebecor Inc.,QBR-B,2021,1,22,30.53,Communication Services,Telecom Services,7640000000.0,13.21,4.13,7.02,0.0262,0.3268,90.36659520561294
Quebecor Inc.,QBR-B,2021,1,25,30.89,Communication Services,Telecom Services,7730000000.0,13.37,4.13,7.1,0.0262,0.3268,92.50341064120053
Quebecor Inc.,QBR-B,2021,1,26,30.89,Communication Services,Telecom Services,7720000000.0,13.37,4.13,7.1,0.0259,0.3268,92.5304610585827
Quebecor Inc.,QBR-B,2021,1,27,30.06,Communication Services,Telecom Services,7540000000.0,13.01,4.13,6.91,0.0259,0.3268,87.62949605224681
Quebecor Inc.,QBR-B,2021,1,28,30.43,Communication Services,Telecom Services,7600000000.0,13.17,4.13,7.0,0.0263,0.3268,89.8275358082432
Quebecor Inc.,QBR-B,2021,1,29,30.6,Communication Services,Telecom Services,7650000000.0,13.24,4.13,7.04,0.026099999999999998,0.3268,90.83870967741936
Quebecor Inc.,QBR-B,2021,2,1,30.9,Communication Services,Telecom Services,7720000000.0,13.37,4.13,7.11,0.0259,0.3268,92.66078565162296
Quebecor Inc.,QBR-B,2021,2,2,31.31,Communication Services,Telecom Services,7820000000.0,13.55,4.13,7.2,0.0259,0.3268,95.09698801052734
Quebecor Inc.,QBR-B,2021,2,3,31.29,Communication Services,Telecom Services,7820000000.0,13.54,4.13,7.19,0.0259,0.3268,94.89482405692561
Quebecor Inc.,QBR-B,2021,2,4,31.2,Communication Services,Telecom Services,7800000000.0,13.5,4.13,7.17,0.0256,0.3268,94.37890015600624
Quebecor Inc.,QBR-B,2021,2,5,31.3,Communication Services,Telecom Services,7830000000.0,13.54,4.13,7.2,0.0256,0.3268,95.05460218408736
Quebecor Inc.,QBR-B,2021,2,8,31.46,Communication Services,Telecom Services,7860000000.0,13.61,4.13,7.23,0.0256,0.3268,95.9441302652106
Quebecor Inc.,QBR-B,2021,2,9,31.7,Communication Services,Telecom Services,8010000000.0,13.72,4.13,7.29,0.0254,0.3268,97.54125219426564
Quebecor Inc.,QBR-B,2021,2,9,31.7,Communication Services,Telecom Services,8010000000.0,13.72,4.13,7.29,0.0254,0.3268,97.54125219426564
Quebecor Inc.,QBR-B,2021,2,10,31.7,Communication Services,Telecom Services,7910000000.0,13.72,4.13,7.29,0.0254,0.3268,97.54125219426564
Quebecor Inc.,QBR-B,2021,2,11,32.21,Communication Services,Telecom Services,8029999999.999999,13.94,4.13,7.41,0.0248,0.3268,100.7956674473068
Quebecor Inc.,QBR-B,2021,2,12,32.51,Communication Services,Telecom Services,8130000000.000001,14.07,4.13,7.48,0.0246,0.3268,102.71676751903183
Quebecor Inc.,QBR-B,2021,2,16,32.45,Communication Services,Telecom Services,8119999999.999999,14.04,4.13,7.46,0.0246,0.3268,102.2236970525083
Quebecor Inc.,QBR-B,2021,2,17,32.02,Communication Services,Telecom Services,8020000000.0,13.86,4.13,7.36,0.0246,0.3268,99.56041382002734
