Company Name,Symbol,Year,Month,Day,Close Price,Sector,Industry,Market Cap,Price to Earnings,PEG,Price to Book,Dividend,Payout Ratio,Value Metric
Sprott Physical Gold and Silver Trust,CEF-U,2021,1,6,19.91,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Sprott Physical Gold and Silver Trust,CEF-U,2021,1,7,19.94,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Sprott Physical Gold and Silver Trust,CEF-U,2021,1,8,19.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Sprott Physical Gold and Silver Trust,CEF-U,2021,1,11,18.72,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Sprott Physical Gold and Silver Trust,CEF-U,2021,1,12,18.91,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Sprott Physical Gold and Silver Trust,CEF-U,2021,1,12,18.91,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Sprott Physical Gold and Silver Trust,CEF-U,2021,1,12,18.91,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Sprott Physical Gold and Silver Trust,CEF-U,2021,1,15,18.31,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Sprott Physical Gold and Silver Trust,CEF-U,2021,1,18,18.25,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Sprott Physical Gold and Silver Trust,CEF-U,2021,1,19,18.57,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Sprott Physical Gold and Silver Trust,CEF-U,2021,1,20,18.98,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Sprott Physical Gold and Silver Trust,CEF-U,2021,1,20,18.98,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Sprott Physical Gold and Silver Trust,CEF-U,2021,1,22,18.58,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
