Company Name,Symbol,Year,Month,Day,Close Price,Sector,Industry,Market Cap,Price to Earnings,PEG,Price to Book,Dividend,Payout Ratio,Value Metric
Forsys Metals Corp.,FSY,2021,1,6,0.335,Basic Materials,Other Industrial Metals & Mining,55910000.0,N/A,N/A,4.24,N/A,0.0,N/A
Forsys Metals Corp.,FSY,2021,1,7,0.315,Basic Materials,Other Industrial Metals & Mining,52570000.0,N/A,N/A,3.99,N/A,0.0,N/A
Forsys Metals Corp.,FSY,2021,1,8,0.315,Basic Materials,Other Industrial Metals & Mining,52570000.0,N/A,N/A,3.99,N/A,0.0,N/A
Forsys Metals Corp.,FSY,2021,1,11,0.275,Basic Materials,Other Industrial Metals & Mining,45900000.0,N/A,N/A,3.48,N/A,0.0,N/A
Forsys Metals Corp.,FSY,2021,1,12,0.26,Basic Materials,Other Industrial Metals & Mining,43390000.0,N/A,N/A,3.29,N/A,0.0,N/A
Forsys Metals Corp.,FSY,2021,1,13,0.295,Basic Materials,Other Industrial Metals & Mining,49240000.0,N/A,N/A,3.73,N/A,0.0,N/A
Forsys Metals Corp.,FSY,2021,1,14,0.31,Basic Materials,Other Industrial Metals & Mining,51740000.0,N/A,N/A,3.92,N/A,0.0,N/A
Forsys Metals Corp.,FSY,2021,1,15,0.31,Basic Materials,Other Industrial Metals & Mining,51740000.0,N/A,N/A,3.92,N/A,0.0,N/A
Forsys Metals Corp.,FSY,2021,1,18,0.31,Basic Materials,Other Industrial Metals & Mining,51740000.0,N/A,N/A,3.92,N/A,0.0,N/A
Forsys Metals Corp.,FSY,2021,1,19,0.31,Basic Materials,Other Industrial Metals & Mining,51740000.0,N/A,N/A,3.92,N/A,0.0,N/A
Forsys Metals Corp.,FSY,2021,1,20,0.305,Basic Materials,Other Industrial Metals & Mining,50900000.0,N/A,N/A,3.86,N/A,0.0,N/A
Forsys Metals Corp.,FSY,2021,1,21,0.32,Basic Materials,Other Industrial Metals & Mining,53410000.0,N/A,N/A,4.05,N/A,0.0,N/A
Forsys Metals Corp.,FSY,2021,1,22,0.335,Basic Materials,Other Industrial Metals & Mining,55910000.0,N/A,N/A,4.24,N/A,0.0,N/A
Forsys Metals Corp.,FSY,2021,1,25,0.32,Basic Materials,Other Industrial Metals & Mining,53410000.0,N/A,N/A,4.05,N/A,0.0,N/A
Forsys Metals Corp.,FSY,2021,1,26,0.33,Basic Materials,Other Industrial Metals & Mining,55080000.0,N/A,N/A,4.18,N/A,0.0,N/A
Forsys Metals Corp.,FSY,2021,1,27,0.29,Basic Materials,Other Industrial Metals & Mining,48400000.0,N/A,N/A,3.67,N/A,0.0,N/A
Forsys Metals Corp.,FSY,2021,1,28,0.285,Basic Materials,Other Industrial Metals & Mining,47570000.0,N/A,N/A,3.61,N/A,0.0,N/A
Forsys Metals Corp.,FSY,2021,1,29,0.295,Basic Materials,Other Industrial Metals & Mining,49240000.0,N/A,N/A,3.73,N/A,0.0,N/A
Forsys Metals Corp.,FSY,2021,2,1,0.315,Basic Materials,Other Industrial Metals & Mining,52570000.0,N/A,N/A,3.99,N/A,0.0,N/A
Forsys Metals Corp.,FSY,2021,2,2,0.33,Basic Materials,Other Industrial Metals & Mining,55080000.0,N/A,N/A,4.18,N/A,0.0,N/A
Forsys Metals Corp.,FSY,2021,2,3,0.315,Basic Materials,Other Industrial Metals & Mining,52570000.0,N/A,N/A,3.99,N/A,0.0,N/A
Forsys Metals Corp.,FSY,2021,2,4,0.32,Basic Materials,Other Industrial Metals & Mining,53410000.0,N/A,N/A,4.05,N/A,0.0,N/A
Forsys Metals Corp.,FSY,2021,2,5,0.32,Basic Materials,Other Industrial Metals & Mining,53410000.0,N/A,N/A,4.05,N/A,0.0,N/A
Forsys Metals Corp.,FSY,2021,2,8,0.375,Basic Materials,Other Industrial Metals & Mining,62590000.0,N/A,N/A,4.75,N/A,0.0,N/A
Forsys Metals Corp.,FSY,2021,2,9,0.385,Basic Materials,Other Industrial Metals & Mining,64260000.00000001,N/A,N/A,4.87,N/A,0.0,N/A
Forsys Metals Corp.,FSY,2021,2,9,0.385,Basic Materials,Other Industrial Metals & Mining,64260000.00000001,N/A,N/A,4.87,N/A,0.0,N/A
Forsys Metals Corp.,FSY,2021,2,10,0.435,Basic Materials,Other Industrial Metals & Mining,72600000.0,N/A,N/A,5.51,N/A,0.0,N/A
Forsys Metals Corp.,FSY,2021,2,11,0.42,Basic Materials,Other Industrial Metals & Mining,70100000.0,N/A,N/A,5.32,N/A,0.0,N/A
Forsys Metals Corp.,FSY,2021,2,12,0.415,Basic Materials,Other Industrial Metals & Mining,69260000.0,N/A,N/A,5.25,N/A,0.0,N/A
Forsys Metals Corp.,FSY,2021,2,16,0.56,Basic Materials,Other Industrial Metals & Mining,93460000.0,N/A,N/A,7.09,N/A,0.0,N/A
