Company Name,Symbol,Year,Month,Day,Close Price,Sector,Industry,Market Cap,Price to Earnings,PEG,Price to Book,Dividend,Payout Ratio,Value Metric
Greenbrook TMS Inc.,GTMS,2021,1,6,2.72,Healthcare,Medical Care Facilities,183630000.0,N/A,N/A,15.54,N/A,0.0,N/A
Greenbrook TMS Inc.,GTMS,2021,1,7,2.74,Healthcare,Medical Care Facilities,184980000.0,N/A,N/A,15.66,N/A,0.0,N/A
Greenbrook TMS Inc.,GTMS,2021,1,8,2.77,Healthcare,Medical Care Facilities,187010000.0,N/A,N/A,15.83,N/A,0.0,N/A
Greenbrook TMS Inc.,GTMS,2021,1,11,2.68,Healthcare,Medical Care Facilities,180930000.0,N/A,N/A,15.31,N/A,0.0,N/A
Greenbrook TMS Inc.,GTMS,2021,1,12,2.72,Healthcare,Medical Care Facilities,183630000.0,N/A,N/A,15.54,N/A,0.0,N/A
Greenbrook TMS Inc.,GTMS,2021,1,13,3.01,Healthcare,Medical Care Facilities,203210000.0,N/A,N/A,17.2,N/A,0.0,N/A
Greenbrook TMS Inc.,GTMS,2021,1,14,3.02,Healthcare,Medical Care Facilities,203890000.0,N/A,N/A,17.26,N/A,0.0,N/A
Greenbrook TMS Inc.,GTMS,2021,1,15,2.81,Healthcare,Medical Care Facilities,189710000.0,N/A,N/A,16.06,N/A,0.0,N/A
Greenbrook TMS Inc.,GTMS,2021,1,18,2.8,Healthcare,Medical Care Facilities,189030000.0,N/A,N/A,16.0,N/A,0.0,N/A
Greenbrook TMS Inc.,GTMS,2021,1,19,2.95,Healthcare,Medical Care Facilities,199160000.0,N/A,N/A,16.86,N/A,0.0,N/A
Greenbrook TMS Inc.,GTMS,2021,1,20,2.95,Healthcare,Medical Care Facilities,199160000.0,N/A,N/A,16.86,N/A,0.0,N/A
Greenbrook TMS Inc.,GTMS,2021,1,21,3.1,Healthcare,Medical Care Facilities,209290000.0,N/A,N/A,17.71,N/A,0.0,N/A
Greenbrook TMS Inc.,GTMS,2021,1,22,3.2,Healthcare,Medical Care Facilities,216040000.0,N/A,N/A,18.29,N/A,0.0,N/A
Greenbrook TMS Inc.,GTMS,2021,1,25,3.37,Healthcare,Medical Care Facilities,227520000.0,N/A,N/A,19.26,N/A,0.0,N/A
Greenbrook TMS Inc.,GTMS,2021,1,26,3.49,Healthcare,Medical Care Facilities,235620000.0,N/A,N/A,19.94,N/A,0.0,N/A
Greenbrook TMS Inc.,GTMS,2021,1,27,3.37,Healthcare,Medical Care Facilities,227520000.0,N/A,N/A,19.26,N/A,0.0,N/A
Greenbrook TMS Inc.,GTMS,2021,1,28,3.59,Healthcare,Medical Care Facilities,242370000.0,N/A,N/A,20.51,N/A,0.0,N/A
Greenbrook TMS Inc.,GTMS,2021,1,29,3.56,Healthcare,Medical Care Facilities,240340000.0,N/A,N/A,20.34,N/A,0.0,N/A
Greenbrook TMS Inc.,GTMS,2021,2,1,3.7,Healthcare,Medical Care Facilities,249800000.0,N/A,N/A,21.14,N/A,0.0,N/A
