Company Name,Symbol,Year,Month,Day,Close Price,Sector,Industry,Market Cap,Price to Earnings,PEG,Price to Book,Dividend,Payout Ratio,Value Metric
Hammond Manufacturing Company Limited,HMM-A,2021,1,6,2.1,Industrials,Electrical Equipment & Parts,23800000.0,5.57,N/A,0.41,0.018600000000000002,0.10529999999999999,2.241998821912429
Hammond Manufacturing Company Limited,HMM-A,2021,1,7,2.06,Industrials,Electrical Equipment & Parts,23350000.0,5.46,N/A,0.4,0.018600000000000002,0.10529999999999999,2.144119379540546
Hammond Manufacturing Company Limited,HMM-A,2021,1,8,2.1,Industrials,Electrical Equipment & Parts,23800000.0,5.57,N/A,0.41,0.019,0.10529999999999999,2.241118743866536
Hammond Manufacturing Company Limited,HMM-A,2021,1,11,2.15,Industrials,Electrical Equipment & Parts,24370000.0,5.7,N/A,0.42,0.019,0.10529999999999999,2.349362119725221
Hammond Manufacturing Company Limited,HMM-A,2021,1,12,2.15,Industrials,Electrical Equipment & Parts,24370000.0,5.7,N/A,0.42,0.019,0.10529999999999999,2.349362119725221
Hammond Manufacturing Company Limited,HMM-A,2021,1,13,2.11,Industrials,Electrical Equipment & Parts,23920000.0,5.6,N/A,0.41,0.019,0.10529999999999999,2.2531894013738962
Hammond Manufacturing Company Limited,HMM-A,2021,1,14,2.15,Industrials,Electrical Equipment & Parts,24370000.0,5.7,N/A,0.42,0.018600000000000002,0.10529999999999999,2.3502847044963677
Hammond Manufacturing Company Limited,HMM-A,2021,1,15,2.12,Industrials,Electrical Equipment & Parts,24030000.0,5.62,N/A,0.41,0.018600000000000002,0.10529999999999999,2.2621244845866877
Hammond Manufacturing Company Limited,HMM-A,2021,1,18,2.15,Industrials,Electrical Equipment & Parts,24370000.0,5.7,N/A,0.42,0.0189,0.10529999999999999,2.3495926980076556
Hammond Manufacturing Company Limited,HMM-A,2021,1,19,2.15,Industrials,Electrical Equipment & Parts,24370000.0,5.7,N/A,0.42,0.018600000000000002,0.10529999999999999,2.3502847044963677
Hammond Manufacturing Company Limited,HMM-A,2021,1,20,2.15,Industrials,Electrical Equipment & Parts,24370000.0,5.7,N/A,0.42,0.018600000000000002,0.10529999999999999,2.3502847044963677
Hammond Manufacturing Company Limited,HMM-A,2021,1,21,2.17,Industrials,Electrical Equipment & Parts,24600000.0,5.76,N/A,0.42,0.018600000000000002,0.10529999999999999,2.375024543491066
