Company Name,Symbol,Year,Month,Day,Close Price,Sector,Industry,Market Cap,Price to Earnings,PEG,Price to Book,Dividend,Payout Ratio,Value Metric
Talon Metals Corp.,TLO,2021,1,6,0.53,Basic Materials,Other Industrial Metals & Mining,316070000.0,N/A,N/A,4.57,N/A,0.0,N/A
Talon Metals Corp.,TLO,2021,1,7,0.54,Basic Materials,Other Industrial Metals & Mining,322030000.0,N/A,N/A,4.66,N/A,0.0,N/A
Talon Metals Corp.,TLO,2021,1,8,0.54,Basic Materials,Other Industrial Metals & Mining,322030000.0,N/A,N/A,4.66,N/A,0.0,N/A
Talon Metals Corp.,TLO,2021,1,11,0.53,Basic Materials,Other Industrial Metals & Mining,316070000.0,N/A,N/A,4.57,N/A,0.0,N/A
Talon Metals Corp.,TLO,2021,1,12,0.55,Basic Materials,Other Industrial Metals & Mining,327990000.0,N/A,N/A,4.74,N/A,0.0,N/A
Talon Metals Corp.,TLO,2021,1,13,0.56,Basic Materials,Other Industrial Metals & Mining,333960000.0,N/A,N/A,4.83,N/A,0.0,N/A
Talon Metals Corp.,TLO,2021,1,14,0.55,Basic Materials,Other Industrial Metals & Mining,327990000.0,N/A,N/A,4.74,N/A,0.0,N/A
Talon Metals Corp.,TLO,2021,1,15,0.54,Basic Materials,Other Industrial Metals & Mining,322030000.0,N/A,N/A,4.66,N/A,0.0,N/A
Talon Metals Corp.,TLO,2021,1,18,0.52,Basic Materials,Other Industrial Metals & Mining,310100000.0,N/A,N/A,4.48,N/A,0.0,N/A
Talon Metals Corp.,TLO,2021,1,19,0.57,Basic Materials,Other Industrial Metals & Mining,339920000.0,N/A,N/A,4.91,N/A,0.0,N/A
Talon Metals Corp.,TLO,2021,1,20,0.55,Basic Materials,Other Industrial Metals & Mining,327990000.0,N/A,N/A,4.74,N/A,0.0,N/A
Talon Metals Corp.,TLO,2021,1,21,0.53,Basic Materials,Other Industrial Metals & Mining,316070000.0,N/A,N/A,4.57,N/A,0.0,N/A
Talon Metals Corp.,TLO,2021,1,22,0.52,Basic Materials,Other Industrial Metals & Mining,310100000.0,N/A,N/A,4.48,N/A,0.0,N/A
Talon Metals Corp.,TLO,2021,1,25,0.56,Basic Materials,Other Industrial Metals & Mining,333960000.0,N/A,N/A,4.83,N/A,0.0,N/A
Talon Metals Corp.,TLO,2021,1,26,0.62,Basic Materials,Other Industrial Metals & Mining,369740000.0,N/A,N/A,5.34,N/A,0.0,N/A
Talon Metals Corp.,TLO,2021,1,27,0.59,Basic Materials,Other Industrial Metals & Mining,351850000.0,N/A,N/A,5.09,N/A,0.0,N/A
Talon Metals Corp.,TLO,2021,1,28,0.59,Basic Materials,Other Industrial Metals & Mining,351850000.0,N/A,N/A,5.09,N/A,0.0,N/A
Talon Metals Corp.,TLO,2021,1,29,0.55,Basic Materials,Other Industrial Metals & Mining,327990000.0,N/A,N/A,4.74,N/A,0.0,N/A
Talon Metals Corp.,TLO,2021,2,1,0.56,Basic Materials,Other Industrial Metals & Mining,333960000.0,N/A,N/A,4.83,N/A,0.0,N/A
