Company Name,Symbol,Year,Month,Day,Close Price,Sector,Industry,Market Cap,Price to Earnings,PEG,Price to Book,Dividend,Payout Ratio,Value Metric
Mulvihill S Split Corp.,SBN,2021,1,6,3.75,Financial Services,Asset Management,3340000.0,N/A,N/A,1.86,N/A,N/A,N/A
Mulvihill S Split Corp.,SBN,2021,1,6,3.75,Financial Services,Asset Management,3340000.0,N/A,N/A,1.86,N/A,N/A,N/A
Mulvihill S Split Corp.,SBN,2021,1,6,3.75,Financial Services,Asset Management,3340000.0,N/A,N/A,1.86,N/A,N/A,N/A
Mulvihill S Split Corp.,SBN,2021,1,11,3.86,Financial Services,Asset Management,3440000.0,N/A,N/A,1.91,N/A,N/A,N/A
Mulvihill S Split Corp.,SBN,2021,1,12,3.9,Financial Services,Asset Management,3470000.0,N/A,N/A,1.93,N/A,N/A,N/A
Mulvihill S Split Corp.,SBN,2021,1,13,4.05,Financial Services,Asset Management,3600000.0,N/A,N/A,2.01,N/A,N/A,N/A
Mulvihill S Split Corp.,SBN,2021,1,14,4.15,Financial Services,Asset Management,3690000.0,N/A,N/A,2.06,N/A,N/A,N/A
Mulvihill S Split Corp.,SBN,2021,1,14,4.15,Financial Services,Asset Management,3690000.0,N/A,N/A,2.06,N/A,N/A,N/A
Mulvihill S Split Corp.,SBN,2021,1,14,4.15,Financial Services,Asset Management,3690000.0,N/A,N/A,2.06,N/A,N/A,N/A
Mulvihill S Split Corp.,SBN,2021,1,14,4.15,Financial Services,Asset Management,3690000.0,N/A,N/A,2.06,N/A,N/A,N/A
Mulvihill S Split Corp.,SBN,2021,1,20,4.45,Financial Services,Asset Management,3960000.0,N/A,N/A,2.2,N/A,N/A,N/A
Mulvihill S Split Corp.,SBN,2021,1,21,4.5,Financial Services,Asset Management,4000000.0,N/A,N/A,2.23,N/A,N/A,N/A
Mulvihill S Split Corp.,SBN,2021,1,22,4.08,Financial Services,Asset Management,3630000.0,N/A,N/A,2.02,N/A,N/A,N/A
Mulvihill S Split Corp.,SBN,2021,1,22,4.08,Financial Services,Asset Management,3630000.0,N/A,N/A,2.02,N/A,N/A,N/A
Mulvihill S Split Corp.,SBN,2021,1,22,4.08,Financial Services,Asset Management,3630000.0,N/A,N/A,2.02,N/A,N/A,N/A
Mulvihill S Split Corp.,SBN,2021,1,27,4.01,Financial Services,Asset Management,3570000.0,N/A,N/A,1.99,N/A,N/A,N/A
Mulvihill S Split Corp.,SBN,2021,1,28,4.19,Financial Services,Asset Management,3730000.0,N/A,N/A,2.08,N/A,N/A,N/A
Mulvihill S Split Corp.,SBN,2021,1,28,4.19,Financial Services,Asset Management,3730000.0,N/A,N/A,2.08,N/A,N/A,N/A
Mulvihill S Split Corp.,SBN,2021,2,1,3.99,Financial Services,Asset Management,3550000.0,N/A,N/A,1.98,N/A,N/A,N/A
Mulvihill S Split Corp.,SBN,2021,2,2,4.11,Financial Services,Asset Management,3660000.0,N/A,N/A,2.04,N/A,N/A,N/A
Mulvihill S Split Corp.,SBN,2021,2,2,4.11,Financial Services,Asset Management,3660000.0,N/A,N/A,2.04,N/A,N/A,N/A
Mulvihill S Split Corp.,SBN,2021,2,2,4.11,Financial Services,Asset Management,3660000.0,N/A,N/A,2.04,N/A,N/A,N/A
Mulvihill S Split Corp.,SBN,2021,2,5,4.12,Financial Services,Asset Management,3670000.0,N/A,N/A,2.04,N/A,N/A,N/A
Mulvihill S Split Corp.,SBN,2021,2,8,4.12,Financial Services,Asset Management,3670000.0,N/A,N/A,2.04,N/A,N/A,N/A
