Company Name,Symbol,Year,Month,Day,Close Price,Sector,Industry,Market Cap,Price to Earnings,PEG,Price to Book,Dividend,Payout Ratio,Value Metric
Euromax Resources Ltd.,EOX,2021,1,6,0.165,Basic Materials,Other Industrial Metals & Mining,54770000.0,N/A,N/A,9.17,N/A,0.0,N/A
Euromax Resources Ltd.,EOX,2021,1,7,0.16,Basic Materials,Other Industrial Metals & Mining,53110000.0,N/A,N/A,8.89,N/A,0.0,N/A
Euromax Resources Ltd.,EOX,2021,1,8,0.13,Basic Materials,Other Industrial Metals & Mining,43150000.0,N/A,N/A,7.22,N/A,0.0,N/A
Euromax Resources Ltd.,EOX,2021,1,11,0.13,Basic Materials,Other Industrial Metals & Mining,43150000.0,N/A,N/A,7.22,N/A,0.0,N/A
Euromax Resources Ltd.,EOX,2021,1,11,0.13,Basic Materials,Other Industrial Metals & Mining,43150000.0,N/A,N/A,7.22,N/A,0.0,N/A
Euromax Resources Ltd.,EOX,2021,1,13,0.135,Basic Materials,Other Industrial Metals & Mining,44810000.0,N/A,N/A,7.5,N/A,0.0,N/A
Euromax Resources Ltd.,EOX,2021,1,14,0.14,Basic Materials,Other Industrial Metals & Mining,46470000.0,N/A,N/A,7.78,N/A,0.0,N/A
Euromax Resources Ltd.,EOX,2021,1,15,0.15,Basic Materials,Other Industrial Metals & Mining,49790000.0,N/A,N/A,8.33,N/A,0.0,N/A
Euromax Resources Ltd.,EOX,2021,1,18,0.13,Basic Materials,Other Industrial Metals & Mining,43150000.0,N/A,N/A,7.22,N/A,0.0,N/A
Euromax Resources Ltd.,EOX,2021,1,19,0.135,Basic Materials,Other Industrial Metals & Mining,44810000.0,N/A,N/A,7.5,N/A,0.0,N/A
Euromax Resources Ltd.,EOX,2021,1,20,0.14,Basic Materials,Other Industrial Metals & Mining,46470000.0,N/A,N/A,7.78,N/A,0.0,N/A
Euromax Resources Ltd.,EOX,2021,1,21,0.13,Basic Materials,Other Industrial Metals & Mining,43150000.0,N/A,N/A,7.22,N/A,0.0,N/A
Euromax Resources Ltd.,EOX,2021,1,22,0.14,Basic Materials,Other Industrial Metals & Mining,46470000.0,N/A,N/A,7.78,N/A,0.0,N/A
Euromax Resources Ltd.,EOX,2021,1,22,0.14,Basic Materials,Other Industrial Metals & Mining,46470000.0,N/A,N/A,7.78,N/A,0.0,N/A
Euromax Resources Ltd.,EOX,2021,1,26,0.14,Basic Materials,Other Industrial Metals & Mining,46470000.0,N/A,N/A,7.78,N/A,0.0,N/A
Euromax Resources Ltd.,EOX,2021,1,27,0.11,Basic Materials,Other Industrial Metals & Mining,36510000.0,N/A,N/A,6.11,N/A,0.0,N/A
