Company Name,Symbol,Year,Month,Day,Close Price,Sector,Industry,Market Cap,Price to Earnings,PEG,Price to Book,Dividend,Payout Ratio,Value Metric
SSR Mining Inc.,SSRM,2021,1,6,26.38,Basic Materials,Gold,5790000000.0,52.97,4.91,1.74,N/A,0.0,92.1678
SSR Mining Inc.,SSRM,2021,1,7,25.88,Basic Materials,Gold,5680000000.0,51.97,4.91,1.7,N/A,0.0,88.34899999999999
SSR Mining Inc.,SSRM,2021,1,8,24.02,Basic Materials,Gold,5270000000.0,48.23,4.69,1.58,N/A,0.0,76.2034
SSR Mining Inc.,SSRM,2021,1,11,23.44,Basic Materials,Gold,5140000000.0,47.07,4.69,1.54,N/A,0.0,72.48780000000001
SSR Mining Inc.,SSRM,2021,1,12,23.18,Basic Materials,Gold,5090000000.0,46.55,4.69,1.53,N/A,0.0,71.22149999999999
SSR Mining Inc.,SSRM,2021,1,13,22.85,Basic Materials,Gold,5010000000.0,45.88,4.69,1.5,N/A,0.0,68.82000000000001
SSR Mining Inc.,SSRM,2021,1,14,22.61,Basic Materials,Gold,4960000000.0,45.4,4.69,1.49,N/A,0.0,67.646
SSR Mining Inc.,SSRM,2021,1,15,21.71,Basic Materials,Gold,4760000000.0,43.59,4.69,1.43,N/A,0.0,62.3337
SSR Mining Inc.,SSRM,2021,1,18,21.68,Basic Materials,Gold,4760000000.0,43.53,4.69,1.43,N/A,0.0,62.2479
SSR Mining Inc.,SSRM,2021,1,19,21.66,Basic Materials,Gold,4750000000.0,43.49,4.69,1.43,N/A,0.0,62.1907
SSR Mining Inc.,SSRM,2021,1,20,22.87,Basic Materials,Gold,5020000000.0,45.92,3.97,1.51,N/A,0.0,69.3392
SSR Mining Inc.,SSRM,2021,1,21,22.42,Basic Materials,Gold,4920000000.0,45.02,4.25,1.48,N/A,0.0,66.62960000000001
SSR Mining Inc.,SSRM,2021,1,22,22.25,Basic Materials,Gold,4880000000.0,44.68,4.25,1.46,N/A,0.0,65.2328
SSR Mining Inc.,SSRM,2021,1,25,21.81,Basic Materials,Gold,4790000000.0,43.8,4.25,1.44,N/A,0.0,63.071999999999996
SSR Mining Inc.,SSRM,2021,1,26,21.93,Basic Materials,Gold,4810000000.0,44.04,4.02,1.44,N/A,0.0,63.41759999999999
SSR Mining Inc.,SSRM,2021,1,27,21.17,Basic Materials,Gold,4650000000.0,42.51,4.02,1.39,N/A,0.0,59.088899999999995
SSR Mining Inc.,SSRM,2021,1,28,22.56,Basic Materials,Gold,4950000000.0,45.3,4.02,1.48,N/A,0.0,67.044
SSR Mining Inc.,SSRM,2021,1,29,22.48,Basic Materials,Gold,4930000000.0,45.14,3.96,1.48,N/A,0.0,66.8072
SSR Mining Inc.,SSRM,2021,2,1,23.02,Basic Materials,Gold,5050000000.0,46.22,3.96,1.52,N/A,0.0,70.2544
SSR Mining Inc.,SSRM,2021,2,2,21.78,Basic Materials,Gold,4780000000.0,43.73,3.96,1.43,N/A,0.0,62.533899999999996
SSR Mining Inc.,SSRM,2021,2,3,22.1,Basic Materials,Gold,4850000000.0,44.38,3.94,1.45,N/A,0.0,64.351
SSR Mining Inc.,SSRM,2021,2,4,21.79,Basic Materials,Gold,4780000000.0,43.76,3.94,1.43,N/A,0.0,62.57679999999999
SSR Mining Inc.,SSRM,2021,2,5,21.99,Basic Materials,Gold,4830000000.0,44.16,3.94,1.45,N/A,0.0,64.032
SSR Mining Inc.,SSRM,2021,2,8,22.17,Basic Materials,Gold,4870000000.0,44.52,3.94,1.46,N/A,0.0,64.9992
SSR Mining Inc.,SSRM,2021,2,9,21.87,Basic Materials,Gold,4800000000.0,43.92,3.91,1.44,N/A,0.0,63.2448
SSR Mining Inc.,SSRM,2021,2,9,21.87,Basic Materials,Gold,4800000000.0,43.92,3.91,1.44,N/A,0.0,63.2448
SSR Mining Inc.,SSRM,2021,2,10,21.75,Basic Materials,Gold,4770000000.0,43.67,3.91,1.43,N/A,0.0,62.4481
SSR Mining Inc.,SSRM,2021,2,11,21.24,Basic Materials,Gold,4660000000.0,42.65,3.91,1.4,N/A,0.0,59.709999999999994
SSR Mining Inc.,SSRM,2021,2,12,21.0,Basic Materials,Gold,4610000000.0,42.17,3.91,1.38,N/A,0.0,58.1946
SSR Mining Inc.,SSRM,2021,2,16,20.8,Basic Materials,Gold,4560000000.0,41.77,3.88,1.37,N/A,0.0,57.224900000000005
SSR Mining Inc.,SSRM,2021,2,17,19.35,Basic Materials,Gold,4250000000.0,38.86,3.88,1.27,N/A,0.0,49.3522
SSR Mining Inc.,SSRM,2021,2,18,19.1,Basic Materials,Gold,4200000000.0,21.9,2.77,1.22,N/A,0.0,26.717999999999996
SSR Mining Inc.,SSRM,2021,2,19,19.01,Basic Materials,Gold,4179999999.9999995,21.8,2.8,1.22,0.013300000000000001,0.0,26.24691601697424
SSR Mining Inc.,SSRM,2021,2,22,19.86,Basic Materials,Gold,4370000000.0,22.78,2.8,1.27,0.013300000000000001,0.0,28.550873383992894
