Company Name,Symbol,Year,Month,Day,Close Price,Sector,Industry,Market Cap,Price to Earnings,PEG,Price to Book,Dividend,Payout Ratio,Value Metric
Nighthawk Gold Corp.,NHK,2021,1,6,1.38,Basic Materials,Gold,71310000.0,N/A,N/A,0.76,N/A,0.0,N/A
Nighthawk Gold Corp.,NHK,2021,1,7,1.34,Basic Materials,Gold,69250000.0,N/A,N/A,0.74,N/A,0.0,N/A
Nighthawk Gold Corp.,NHK,2021,1,8,1.3,Basic Materials,Gold,67180000.0,N/A,N/A,0.72,N/A,0.0,N/A
Nighthawk Gold Corp.,NHK,2021,1,11,1.27,Basic Materials,Gold,65629999.99999999,N/A,N/A,0.7,N/A,0.0,N/A
Nighthawk Gold Corp.,NHK,2021,1,12,1.26,Basic Materials,Gold,65110000.0,N/A,N/A,0.7,N/A,0.0,N/A
Nighthawk Gold Corp.,NHK,2021,1,13,1.26,Basic Materials,Gold,65110000.0,N/A,N/A,0.7,N/A,0.0,N/A
Nighthawk Gold Corp.,NHK,2021,1,14,1.22,Basic Materials,Gold,63040000.0,N/A,N/A,0.68,N/A,0.0,N/A
Nighthawk Gold Corp.,NHK,2021,1,15,1.22,Basic Materials,Gold,63040000.0,N/A,N/A,0.68,N/A,0.0,N/A
Nighthawk Gold Corp.,NHK,2021,1,18,1.25,Basic Materials,Gold,64590000.0,N/A,N/A,0.69,N/A,0.0,N/A
Nighthawk Gold Corp.,NHK,2021,1,19,1.2,Basic Materials,Gold,62010000.0,N/A,N/A,0.66,N/A,0.0,N/A
Nighthawk Gold Corp.,NHK,2021,1,20,1.23,Basic Materials,Gold,63560000.0,N/A,N/A,0.68,N/A,0.0,N/A
Nighthawk Gold Corp.,NHK,2021,1,21,1.22,Basic Materials,Gold,63040000.0,N/A,N/A,0.68,N/A,0.0,N/A
Nighthawk Gold Corp.,NHK,2021,1,25,1.19,Basic Materials,Gold,61490000.0,N/A,N/A,0.66,N/A,0.0,N/A
Nighthawk Gold Corp.,NHK,2021,1,26,1.19,Basic Materials,Gold,61490000.0,N/A,N/A,0.66,N/A,0.0,N/A
Nighthawk Gold Corp.,NHK,2021,1,27,1.14,Basic Materials,Gold,58910000.0,N/A,N/A,0.63,N/A,0.0,N/A
Nighthawk Gold Corp.,NHK,2021,1,28,1.13,Basic Materials,Gold,58390000.0,N/A,N/A,0.63,N/A,0.0,N/A
Nighthawk Gold Corp.,NHK,2021,1,29,1.15,Basic Materials,Gold,59430000.0,N/A,N/A,0.64,N/A,0.0,N/A
Nighthawk Gold Corp.,NHK,2021,2,1,1.22,Basic Materials,Gold,63040000.0,N/A,N/A,0.68,N/A,0.0,N/A
Nighthawk Gold Corp.,NHK,2021,2,2,1.21,Basic Materials,Gold,62530000.0,N/A,N/A,0.67,N/A,0.0,N/A
Nighthawk Gold Corp.,NHK,2021,2,3,1.22,Basic Materials,Gold,63040000.0,N/A,N/A,0.68,N/A,0.0,N/A
Nighthawk Gold Corp.,NHK,2021,2,4,1.2,Basic Materials,Gold,62010000.0,N/A,N/A,0.66,N/A,0.0,N/A
Nighthawk Gold Corp.,NHK,2021,2,5,1.19,Basic Materials,Gold,61490000.0,N/A,N/A,0.66,N/A,0.0,N/A
Nighthawk Gold Corp.,NHK,2021,2,8,1.19,Basic Materials,Gold,N/A,N/A,N/A,0.66,N/A,0.0,N/A
Nighthawk Gold Corp.,NHK,2021,2,9,1.16,Basic Materials,Gold,59940000.0,N/A,N/A,0.64,N/A,0.0,N/A
Nighthawk Gold Corp.,NHK,2021,2,10,1.17,Basic Materials,Gold,60460000.0,N/A,N/A,0.65,N/A,0.0,N/A
Nighthawk Gold Corp.,NHK,2021,2,11,1.14,Basic Materials,Gold,58910000.0,N/A,N/A,0.63,N/A,0.0,N/A
