Company Name,Symbol,Year,Month,Day,Close Price,Sector,Industry,Market Cap,Price to Earnings,PEG,Price to Book,Dividend,Payout Ratio,Value Metric
Clairvest Group Inc.,CVG,2021,1,6,56.0,Financial Services,Asset Management,843460000.0,9.6,N/A,0.97,0.0019,0.0171,9.294340752570116
Clairvest Group Inc.,CVG,2021,1,7,54.0,Financial Services,Asset Management,813340000.0,9.25,N/A,0.94,0.0018,0.0171,8.679377121181872
Clairvest Group Inc.,CVG,2021,1,8,54.01,Financial Services,Asset Management,813490000.0,9.26,N/A,0.94,0.0019,0.0171,8.687893003293741
Clairvest Group Inc.,CVG,2021,1,8,54.01,Financial Services,Asset Management,813490000.0,9.26,N/A,0.94,0.0019,0.0171,8.687893003293741
Clairvest Group Inc.,CVG,2021,1,12,55.3,Financial Services,Asset Management,832920000.0,9.48,N/A,0.96,0.0019,0.0171,9.08354127158399
Clairvest Group Inc.,CVG,2021,1,13,54.95,Financial Services,Asset Management,827650000.0,9.42,N/A,0.95,0.0018,0.0171,8.932920742663207
Clairvest Group Inc.,CVG,2021,1,13,54.95,Financial Services,Asset Management,827650000.0,9.42,N/A,0.95,0.0018,0.0171,8.932920742663207
Clairvest Group Inc.,CVG,2021,1,15,53.9,Financial Services,Asset Management,811830000.0,9.24,N/A,0.93,0.0018,0.0171,8.577760031942505
Clairvest Group Inc.,CVG,2021,1,18,53.9,Financial Services,Asset Management,811830000.0,9.24,N/A,0.93,0.0019,0.0171,8.576903882623018
Clairvest Group Inc.,CVG,2021,1,19,53.9,Financial Services,Asset Management,811830000.0,9.24,N/A,0.93,0.0019,0.0171,8.576903882623018
Clairvest Group Inc.,CVG,2021,1,19,53.9,Financial Services,Asset Management,811830000.0,9.24,N/A,0.93,0.0019,0.0171,8.576903882623018
Clairvest Group Inc.,CVG,2021,1,19,53.9,Financial Services,Asset Management,811830000.0,9.24,N/A,0.93,0.0019,0.0171,8.576903882623018
Clairvest Group Inc.,CVG,2021,1,22,56.0,Financial Services,Asset Management,843460000.0,9.6,N/A,0.97,0.0019,0.0171,9.294340752570116
Clairvest Group Inc.,CVG,2021,1,25,56.81,Financial Services,Asset Management,855660000.0,9.74,N/A,0.99,0.0018,0.0171,9.625274505889399
Clairvest Group Inc.,CVG,2021,1,25,56.81,Financial Services,Asset Management,855660000.0,9.74,N/A,0.99,0.0018,0.0171,9.625274505889399
Clairvest Group Inc.,CVG,2021,1,25,56.81,Financial Services,Asset Management,855660000.0,9.74,N/A,0.99,0.0018,0.0171,9.625274505889399
Clairvest Group Inc.,CVG,2021,1,25,56.81,Financial Services,Asset Management,855660000.0,9.74,N/A,0.99,0.0018,0.0171,9.625274505889399
Clairvest Group Inc.,CVG,2021,1,29,56.05,Financial Services,Asset Management,844210000.0,9.61,N/A,0.97,0.0018,0.0171,9.304951088041525
Clairvest Group Inc.,CVG,2021,2,1,55.4,Financial Services,Asset Management,834420000.0,9.49,N/A,0.96,0.0018,0.0171,9.094030744659612
Clairvest Group Inc.,CVG,2021,2,2,55.44,Financial Services,Asset Management,835030000.0,9.5,N/A,0.96,0.0018,0.0171,9.103613495707725
Clairvest Group Inc.,CVG,2021,2,3,55.55,Financial Services,Asset Management,836680000.0,9.52,N/A,0.96,0.0018,0.0171,9.122778997803952
Clairvest Group Inc.,CVG,2021,2,3,55.55,Financial Services,Asset Management,836680000.0,9.52,N/A,0.96,0.0018,0.0171,9.122778997803952
Clairvest Group Inc.,CVG,2021,2,5,55.55,Financial Services,Asset Management,836680000.0,9.52,N/A,0.96,0.0018,0.0171,9.122778997803952
Clairvest Group Inc.,CVG,2021,2,5,55.55,Financial Services,Asset Management,836680000.0,9.52,N/A,0.96,0.0018,0.0171,9.122778997803952
Clairvest Group Inc.,CVG,2021,2,9,56.5,Financial Services,Asset Management,850990000.0,9.68,N/A,0.98,0.0018,0.0171,9.46935516071072
Clairvest Group Inc.,CVG,2021,2,9,56.5,Financial Services,Asset Management,850990000.0,9.68,N/A,0.98,0.0018,0.0171,9.46935516071072
Clairvest Group Inc.,CVG,2021,2,10,57.0,Financial Services,Asset Management,858520000.0,9.77,N/A,0.99,0.0018,0.0171,9.654921141944499
Clairvest Group Inc.,CVG,2021,2,10,57.0,Financial Services,Asset Management,858520000.0,9.77,N/A,0.99,0.0018,0.0171,9.654921141944499
Clairvest Group Inc.,CVG,2021,2,10,57.0,Financial Services,Asset Management,858520000.0,13.22,N/A,1.02,0.0018,0.0171,13.46017169095628
Clairvest Group Inc.,CVG,2021,2,16,57.0,Financial Services,Asset Management,858330000.0,13.19,N/A,1.02,0.0018,0.0171,13.429626671990416
Clairvest Group Inc.,CVG,2021,2,17,55.6,Financial Services,Asset Management,837250000.0,12.87,N/A,0.99,0.0018,0.0231,12.71840686763825
Clairvest Group Inc.,CVG,2021,2,17,55.6,Financial Services,Asset Management,837250000.0,12.87,N/A,0.99,0.0018,0.0231,12.71840686763825
Clairvest Group Inc.,CVG,2021,2,19,55.75,Financial Services,Asset Management,839510000.0,12.91,N/A,1.0,0.0018,0.0231,12.88680375324416
Clairvest Group Inc.,CVG,2021,2,22,55.64,Financial Services,Asset Management,837850000.0,12.88,N/A,0.99,0.0018,0.0231,12.72828907965662
Clairvest Group Inc.,CVG,2021,2,22,55.64,Financial Services,Asset Management,837850000.0,12.88,N/A,0.99,0.0018,0.0231,12.72828907965662
Clairvest Group Inc.,CVG,2021,2,22,55.64,Financial Services,Asset Management,837850000.0,12.88,N/A,0.99,0.0018,0.0231,12.72828907965662
Clairvest Group Inc.,CVG,2021,2,25,57.7,Financial Services,Asset Management,868870000.0,13.36,N/A,1.03,0.0018,0.0231,13.73607506488321
