Company Name,Symbol,Year,Month,Day,Close Price,Sector,Industry,Market Cap,Price to Earnings,PEG,Price to Book,Dividend,Payout Ratio,Value Metric
Onex Corporation,ONEX,2021,1,6,73.2,Financial Services,Asset Management,6630000000.0,22.65,-66.42,1.0,0.0055000000000000005,0.0932,22.52610641471904
Onex Corporation,ONEX,2021,1,7,73.64,Financial Services,Asset Management,6670000000.0,22.78,-66.42,1.0,0.0055000000000000005,0.0932,22.655395325708604
Onex Corporation,ONEX,2021,1,8,73.75,Financial Services,Asset Management,6680000000.0,22.82,-66.95,1.0,0.0055000000000000005,0.0932,22.695176529090006
Onex Corporation,ONEX,2021,1,11,73.07,Financial Services,Asset Management,6610000000.0,22.61,-66.95,0.99,0.0054,0.0932,22.2636761487965
Onex Corporation,ONEX,2021,1,12,72.59,Financial Services,Asset Management,6570000000.0,22.46,-66.95,0.99,0.0055000000000000005,0.0932,22.11377424167081
Onex Corporation,ONEX,2021,1,13,72.36,Financial Services,Asset Management,6550000000.0,22.39,-66.95,0.99,0.0055000000000000005,0.0932,22.04485330681253
Onex Corporation,ONEX,2021,1,14,72.27,Financial Services,Asset Management,6540000000.0,22.36,-66.95,0.98,0.0055000000000000005,0.0932,21.792938836399802
Onex Corporation,ONEX,2021,1,15,71.94,Financial Services,Asset Management,6510000000.0,22.26,-65.7,0.98,0.0055000000000000005,0.0932,21.695474888115367
Onex Corporation,ONEX,2021,1,18,72.04,Financial Services,Asset Management,6510000000.0,22.29,-65.4,0.98,0.005600000000000001,0.0932,21.722553699284006
Onex Corporation,ONEX,2021,1,19,71.4,Financial Services,Asset Management,6450000000.0,22.09,-65.4,0.97,0.005600000000000001,0.0932,21.3079753381066
Onex Corporation,ONEX,2021,1,20,71.28,Financial Services,Asset Management,6450000000.0,22.05,-65.4,0.97,0.005600000000000001,0.0932,21.269391408114558
Onex Corporation,ONEX,2021,1,21,70.39,Financial Services,Asset Management,6370000000.0,21.78,-64.8,0.96,0.005600000000000001,0.0932,20.792362768496417
Onex Corporation,ONEX,2021,1,22,69.55,Financial Services,Asset Management,6300000000.0,21.52,-64.8,0.95,0.005699999999999999,0.0932,20.32812966093268
