Company Name,Symbol,Year,Month,Day,Close Price,Sector,Industry,Market Cap,Price to Earnings,PEG,Price to Book,Dividend,Payout Ratio,Value Metric
Stingray Group Inc.,RAY-A,2021,1,6,6.81,Communication Services,Broadcasting,499390000.0,27.68,0.89,1.78,0.0429,1.1869,47.24364752133474
Stingray Group Inc.,RAY-A,2021,1,7,6.82,Communication Services,Broadcasting,500190000.0,27.72,0.89,1.78,0.0441,1.1869,47.25754238099799
Stingray Group Inc.,RAY-A,2021,1,8,6.82,Communication Services,Broadcasting,500180000.0,27.72,0.86,1.78,0.044000000000000004,1.1869,47.26206896551724
Stingray Group Inc.,RAY-A,2021,1,11,6.79,Communication Services,Broadcasting,497840000.0,27.6,0.86,1.78,0.044000000000000004,1.1869,47.05747126436781
Stingray Group Inc.,RAY-A,2021,1,12,6.95,Communication Services,Broadcasting,509660000.0,28.25,0.86,1.82,0.044199999999999996,1.1869,49.23865159931047
Stingray Group Inc.,RAY-A,2021,1,13,7.03,Communication Services,Broadcasting,515549999.99999994,28.58,0.86,1.84,0.0432,1.1869,50.40950920245399
Stingray Group Inc.,RAY-A,2021,1,14,6.97,Communication Services,Broadcasting,511110000.0,28.33,0.86,1.82,0.042699999999999995,1.1869,49.44912247050926
Stingray Group Inc.,RAY-A,2021,1,15,6.99,Communication Services,Broadcasting,512610000.0,28.41,0.86,1.83,0.043,1.1869,49.84688398849473
Stingray Group Inc.,RAY-A,2021,1,18,7.27,Communication Services,Broadcasting,533220000.0,29.55,0.86,1.9,0.0429,1.1869,53.835458816760955
Stingray Group Inc.,RAY-A,2021,1,19,7.1,Communication Services,Broadcasting,520620000.0,28.86,0.86,1.86,0.041299999999999996,1.1869,51.55056179775281
Stingray Group Inc.,RAY-A,2021,1,20,7.31,Communication Services,Broadcasting,536000000.0,29.72,0.9,1.91,0.041299999999999996,1.1869,54.513780850859504
Stingray Group Inc.,RAY-A,2021,1,21,7.59,Communication Services,Broadcasting,556530000.0,30.85,0.93,1.98,0.040999999999999995,1.1869,58.677233429394825
Stingray Group Inc.,RAY-A,2021,1,22,7.66,Communication Services,Broadcasting,561560000.0,31.14,0.93,2.0,0.0395,1.1869,59.91341991341991
Stingray Group Inc.,RAY-A,2021,1,25,7.72,Communication Services,Broadcasting,566100000.0,31.38,0.93,2.02,0.0392,1.1869,60.99653579676675
Stingray Group Inc.,RAY-A,2021,1,26,7.95,Communication Services,Broadcasting,582890000.0,32.32,0.98,2.08,0.038900000000000004,1.1869,64.70844162094524
Stingray Group Inc.,RAY-A,2021,1,27,7.68,Communication Services,Broadcasting,563120000.0,31.22,0.98,2.01,0.0377,1.1869,60.472390864411665
Stingray Group Inc.,RAY-A,2021,1,28,7.59,Communication Services,Broadcasting,556510000.0,30.85,0.98,1.98,0.0391,1.1869,58.78452506977193
Stingray Group Inc.,RAY-A,2021,1,29,7.44,Communication Services,Broadcasting,545860000.0,30.24,0.98,1.95,0.0403,1.1869,56.68364894741901
Stingray Group Inc.,RAY-A,2021,2,1,7.77,Communication Services,Broadcasting,570070000.0,31.59,0.8,2.03,0.0403,1.1869,61.64346823031817
Stingray Group Inc.,RAY-A,2021,2,2,7.86,Communication Services,Broadcasting,576470000.0,31.95,0.8,2.05,0.0403,1.1869,62.96020378736902
Stingray Group Inc.,RAY-A,2021,2,3,8.04,Communication Services,Broadcasting,589650000.0,32.68,0.8,2.1,0.0382,1.1869,66.10287035253323
Stingray Group Inc.,RAY-A,2021,2,4,7.46,Communication Services,Broadcasting,547040000.0,41.44,0.8,2.0,0.0373,1.1869,79.89973970885953
