Company Name,Symbol,Year,Month,Day,Close Price,Sector,Industry,Market Cap,Price to Earnings,PEG,Price to Book,Dividend,Payout Ratio,Value Metric
Enbridge Inc.,ENB,2021,1,6,41.77,Energy,Oil & Gas Midstream,84590000000.0,43.51,2.43,1.47,0.079,3.3,59.27683039851715
Enbridge Inc.,ENB,2021,1,7,42.75,Energy,Oil & Gas Midstream,86580000000.0,44.53,2.5,1.51,0.08,3.3,62.259537037037035
Enbridge Inc.,ENB,2021,1,8,42.38,Energy,Oil & Gas Midstream,85830000000.0,44.15,2.37,1.49,0.0781,3.3,61.017994620165105
Enbridge Inc.,ENB,2021,1,11,42.47,Energy,Oil & Gas Midstream,86010000000.0,44.24,2.35,1.5,0.0788,3.3,61.512791991101224
Enbridge Inc.,ENB,2021,1,12,42.96,Energy,Oil & Gas Midstream,87000000000.0,44.75,3.83,1.51,0.0786,3.3,62.64834044131282
Enbridge Inc.,ENB,2021,1,13,43.95,Energy,Oil & Gas Midstream,89010000000.0,45.78,2.36,1.55,0.07769999999999999,3.3,65.84299897930778
Enbridge Inc.,ENB,2021,1,14,45.02,Energy,Oil & Gas Midstream,91180000000.0,46.9,2.35,1.59,0.076,3.3,69.3039033457249
Enbridge Inc.,ENB,2021,1,15,44.88,Energy,Oil & Gas Midstream,90890000000.0,46.75,2.5,1.58,0.0742,3.3,68.76280022342209
Enbridge Inc.,ENB,2021,1,18,44.08,Energy,Oil & Gas Midstream,89270000000.0,45.92,2.49,1.55,0.07440000000000001,3.3,66.24720774385703
Enbridge Inc.,ENB,2021,1,19,44.75,Energy,Oil & Gas Midstream,90630000000.0,46.61,2.49,1.58,0.0758,3.3,68.45491727086818
Enbridge Inc.,ENB,2021,1,20,44.97,Energy,Oil & Gas Midstream,91070000000.0,46.84,2.48,1.58,0.0746,3.3,68.86953284943236
Enbridge Inc.,ENB,2021,1,21,44.32,Energy,Oil & Gas Midstream,89760000000.0,46.17,2.49,1.56,0.07429999999999999,3.3,67.04384250209438
Enbridge Inc.,ENB,2021,1,22,44.16,Energy,Oil & Gas Midstream,89430000000.0,46.0,2.49,1.56,0.0754,3.3,66.72865910358938
,ENB,2021,1,25,44.14,Energy,Oil & Gas Midstream,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Enbridge Inc.,ENB,2021,1,26,44.26,Energy,Oil & Gas Midstream,89640000000.0,46.1,2.45,1.56,0.0757,3.3,66.85507111648229
Enbridge Inc.,ENB,2021,1,27,43.29,Energy,Oil & Gas Midstream,87670000000.0,45.09,2.45,1.53,0.0755,3.3,64.14476987447699
Enbridge Inc.,ENB,2021,1,28,43.59,Energy,Oil & Gas Midstream,88280000000.0,45.41,2.45,1.54,0.07719999999999999,3.3,64.91960638692908
Enbridge Inc.,ENB,2021,1,29,42.96,Energy,Oil & Gas Midstream,87000000000.0,44.75,2.45,1.51,0.07769999999999999,3.3,62.700658810429616
Enbridge Inc.,ENB,2021,2,1,43.52,Energy,Oil & Gas Midstream,88140000000.0,45.33,2.82,1.53,0.07769999999999999,3.3,64.35455135937644
