Company Name,Symbol,Year,Month,Day,Close Price,Sector,Industry,Market Cap,Price to Earnings,PEG,Price to Book,Dividend,Payout Ratio,Value Metric
Big Banc Split Corp.,BNK,2021,1,6,11.27,Financial Services,Asset Management,39450000.0,N/A,N/A,N/A,0.0738,N/A,N/A
Big Banc Split Corp.,BNK,2021,1,7,11.17,Financial Services,Asset Management,39090000.0,N/A,N/A,N/A,0.0725,N/A,N/A
Big Banc Split Corp.,BNK,2021,1,8,11.13,Financial Services,Asset Management,38950000.0,N/A,N/A,N/A,0.0705,N/A,N/A
Big Banc Split Corp.,BNK,2021,1,11,11.26,Financial Services,Asset Management,39410000.0,N/A,N/A,N/A,0.0711,N/A,N/A
Big Banc Split Corp.,BNK,2021,1,12,11.3,Financial Services,Asset Management,39550000.0,N/A,N/A,N/A,0.07139999999999999,N/A,N/A
Big Banc Split Corp.,BNK,2021,1,13,11.6,Financial Services,Asset Management,40600000.0,N/A,N/A,N/A,0.0706,N/A,N/A
Big Banc Split Corp.,BNK,2021,1,14,11.65,Financial Services,Asset Management,40770000.0,N/A,N/A,N/A,0.0703,N/A,N/A
Big Banc Split Corp.,BNK,2021,1,15,11.71,Financial Services,Asset Management,40980000.0,N/A,N/A,N/A,0.06849999999999999,N/A,N/A
Big Banc Split Corp.,BNK,2021,1,18,11.66,Financial Services,Asset Management,40810000.0,N/A,N/A,N/A,0.0682,N/A,N/A
Big Banc Split Corp.,BNK,2021,1,19,11.71,Financial Services,Asset Management,40980000.0,N/A,N/A,N/A,0.0678,N/A,N/A
Big Banc Split Corp.,BNK,2021,1,20,11.75,Financial Services,Asset Management,41120000.0,N/A,N/A,N/A,0.0681,N/A,N/A
Big Banc Split Corp.,BNK,2021,1,21,11.57,Financial Services,Asset Management,40490000.0,N/A,N/A,N/A,0.0678,N/A,N/A
Big Banc Split Corp.,BNK,2021,1,22,11.6,Financial Services,Asset Management,40600000.0,N/A,N/A,N/A,0.0676,N/A,N/A
Big Banc Split Corp.,BNK,2021,1,25,11.53,Financial Services,Asset Management,40350000.0,N/A,N/A,N/A,0.0687,N/A,N/A
Big Banc Split Corp.,BNK,2021,1,26,11.6,Financial Services,Asset Management,40600000.0,N/A,N/A,N/A,0.06849999999999999,N/A,N/A
Big Banc Split Corp.,BNK,2021,1,27,11.18,Financial Services,Asset Management,39130000.0,N/A,N/A,N/A,0.0689,N/A,N/A
Big Banc Split Corp.,BNK,2021,1,28,11.2,Financial Services,Asset Management,39200000.0,N/A,N/A,N/A,0.06849999999999999,N/A,N/A
Big Banc Split Corp.,BNK,2021,1,29,10.92,Financial Services,Asset Management,38220000.0,N/A,N/A,N/A,0.0709,N/A,N/A
Big Banc Split Corp.,BNK,2021,2,1,10.92,Financial Services,Asset Management,38220000.0,N/A,N/A,N/A,0.0709,N/A,N/A
Big Banc Split Corp.,BNK,2021,2,2,11.2,Financial Services,Asset Management,39200000.0,N/A,N/A,N/A,0.0727,N/A,N/A
Big Banc Split Corp.,BNK,2021,2,3,11.02,Financial Services,Asset Management,38570000.0,N/A,N/A,N/A,0.0727,N/A,N/A
Big Banc Split Corp.,BNK,2021,2,4,11.3,Financial Services,Asset Management,39550000.0,N/A,N/A,N/A,0.0709,N/A,N/A
Big Banc Split Corp.,BNK,2021,2,5,11.37,Financial Services,Asset Management,39800000.0,N/A,N/A,N/A,0.0721,N/A,N/A
Big Banc Split Corp.,BNK,2021,2,8,11.36,Financial Services,Asset Management,39760000.0,N/A,N/A,N/A,0.0703,N/A,N/A
Big Banc Split Corp.,BNK,2021,2,9,11.49,Financial Services,Asset Management,40220000.0,N/A,N/A,N/A,0.0699,N/A,N/A
Big Banc Split Corp.,BNK,2021,2,10,11.39,Financial Services,Asset Management,39870000.0,N/A,N/A,N/A,0.0699,N/A,N/A
Big Banc Split Corp.,BNK,2021,2,11,11.37,Financial Services,Asset Management,39800000.0,N/A,N/A,N/A,0.0691,N/A,N/A
Big Banc Split Corp.,BNK,2021,2,12,11.59,Financial Services,Asset Management,40560000.0,N/A,N/A,N/A,0.0697,N/A,N/A
Big Banc Split Corp.,BNK,2021,2,16,11.68,Financial Services,Asset Management,40880000.0,N/A,N/A,N/A,0.0699,N/A,N/A
Big Banc Split Corp.,BNK,2021,2,17,11.58,Financial Services,Asset Management,40530000.0,N/A,N/A,N/A,0.06849999999999999,N/A,N/A
Big Banc Split Corp.,BNK,2021,2,18,11.51,Financial Services,Asset Management,40280000.0,N/A,N/A,N/A,0.068,N/A,N/A
Big Banc Split Corp.,BNK,2021,2,19,11.75,Financial Services,Asset Management,41120000.0,N/A,N/A,N/A,0.06860000000000001,N/A,N/A
Big Banc Split Corp.,BNK,2021,2,22,11.98,Financial Services,Asset Management,41930000.0,N/A,N/A,N/A,0.069,N/A,N/A
Big Banc Split Corp.,BNK,2021,2,23,12.31,Financial Services,Asset Management,43090000.0,N/A,N/A,N/A,0.0676,N/A,N/A
Big Banc Split Corp.,BNK,2021,2,24,12.77,Financial Services,Asset Management,44700000.0,N/A,N/A,N/A,0.0663,N/A,N/A
Big Banc Split Corp.,BNK,2021,2,25,12.55,Financial Services,Asset Management,43920000.0,N/A,N/A,N/A,0.0645,N/A,N/A
Big Banc Split Corp.,BNK,2021,2,26,12.25,Financial Services,Asset Management,42880000.0,N/A,N/A,N/A,0.0622,N/A,N/A
Big Banc Split Corp.,BNK,2021,3,1,12.48,Financial Services,Asset Management,43680000.0,N/A,N/A,N/A,0.0633,N/A,N/A
